check_id,check_name,severity,short_code,description,service,framework,source_file_url,source_code
,,,,,athena,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/athena/no_encryption_override.yaml,"cloudformation:
  good:
    - |-
      Resources:
        GoodExample:
          Type: AWS::Athena::WorkGroup
          Properties:
            Name: goodExample
            WorkGroupConfiguration:
              EnforceWorkGroupConfiguration: true
              ResultConfiguration:
                EncryptionConfiguration:
                  EncryptionOption: SSE_KMS
  bad:
    - |-
      Resources:
        BadExample:
          Type: AWS::Athena::WorkGroup
          Properties:
            Name: badExample
            WorkGroupConfiguration:
              EnforceWorkGroupConfiguration: false
              ResultConfiguration:
                EncryptionConfiguration:
                  EncryptionOption: SSE_KMS
terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/athena_workgroup#configuration
  good:
    - |-
      resource ""aws_athena_workgroup"" ""good_example"" {
        name = ""example""

        configuration {
          enforce_workgroup_configuration    = true
          publish_cloudwatch_metrics_enabled = true

          result_configuration {
            output_location = ""s3://${aws_s3_bucket.example.bucket}/output/""

            encryption_configuration {
              encryption_option = ""SSE_KMS""
              kms_key_arn       = aws_kms_key.example.arn
            }
          }
        }
      }
  bad:
    - |-
      resource ""aws_athena_workgroup"" ""bad_example"" {
        name = ""example""

        configuration {
          enforce_workgroup_configuration    = false
          publish_cloudwatch_metrics_enabled = true

          result_configuration {
            output_location = ""s3://${aws_s3_bucket.example.bucket}/output/""

            encryption_configuration {
              encryption_option = ""SSE_KMS""
              kms_key_arn       = aws_kms_key.example.arn
            }
          }
        }
      }
    - |-
      resource ""aws_athena_workgroup"" ""bad_example"" {
        name = ""example""

      }
"
AVD-AWS-0010,Cloudfront distribution should have Access Logging configured,MEDIUM,,"You should configure CloudFront Access Logging to create log files that contain detailed information about every user request that CloudFront receives
",cloudfront,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudfront/enable_logging.rego,"package builtin.aws.cloudfront.aws0010

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some dist in input.aws.cloudfront.distributions
	without_logging_bucket(dist)
	res := result.new(
		""Distribution does not have logging enabled"",
		metadata.obj_by_path(dist, [""logging"", ""bucket""]),
	)
}

without_logging_bucket(dist) if value.is_empty(dist.logging.bucket)

without_logging_bucket(dist) if not dist.logging.bucket"
AVD-AWS-0011,CloudFront distribution does not have a WAF in front.,HIGH,,"You should configure a Web Application Firewall in front of your CloudFront distribution. This will mitigate many types of attacks on your web application.
",cloudfront,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudfront/enable_waf.rego,"package builtin.aws.cloudfront.aws0011

import rego.v1

import data.lib.cloud.value

deny contains res if {
	some dist in input.aws.cloudfront.distributions
	waf_not_enabled(dist)
	res := result.new(
		""Distribution does not utilize a WAF."",
		object.get(dist, ""wafid"", dist),
	)
}

waf_not_enabled(dist) if value.is_empty(dist.wafid)

waf_not_enabled(dist) if not dist.wafid"
,,,,,apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_access_logging.yaml,"cloudformation:
  good:
    - |-
      AWSTemplateFormatVersion: ""2010-09-09""

      Description: Good Example of ApiGateway

      Resources:
        GoodApi:
          Type: AWS::ApiGatewayV2::Api

        GoodApiStage:
          Type: AWS::ApiGatewayV2::Stage
          Properties:
            AccessLogSettings:
              DestinationArn: gateway-logging
              Format: json
            ApiId: !Ref GoodApi
            StageName: GoodApiStage
  bad:
    - |-
      AWSTemplateFormatVersion: ""2010-09-09""

      Description: Bad Example of ApiGateway

      Resources:
        BadApi:
          Type: AWS::ApiGatewayV2::Api

        BadApiStage:
          Type: AWS::ApiGatewayV2::Stage
          Properties:
            AccessLogSettings:
              Format: json
            ApiId: !Ref BadApi
            StageName: BadApiStage
terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/apigatewayv2_stage#access_log_settings
  good:
    - |-
      resource ""aws_apigatewayv2_stage"" ""good_example"" {
        api_id = aws_apigatewayv2_api.example.id
        name   = ""example-stage""

        access_log_settings {
          destination_arn = ""arn:aws:logs:region:0123456789:log-group:access_logging""
          format          = ""json""
        }
      }
    - |-
      resource ""aws_api_gateway_stage"" ""good_example"" {
        deployment_id = aws_api_gateway_deployment.example.id
        rest_api_id   = aws_api_gateway_rest_api.example.id
        stage_name    = ""example""

        access_log_settings {
          destination_arn = ""arn:aws:logs:region:0123456789:log-group:access_logging""
          format          = ""json""
        }
      }
  bad:
    - |-
      resource ""aws_apigatewayv2_stage"" ""bad_example"" {
        api_id = aws_apigatewayv2_api.example.id
        name   = ""example-stage""
      }
    - |-
      resource ""aws_api_gateway_stage"" ""bad_example"" {
        deployment_id = aws_api_gateway_deployment.example.id
        rest_api_id   = aws_api_gateway_rest_api.example.id
        stage_name    = ""example""
      }
"
,,,,,cloudfront,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudfront/enforce_https.yaml,"cloudformation:
  good:
    - |-
      Resources:
        GoodExample:
          Type: AWS::CloudFront::Distribution
          Properties:
            DistributionConfig:
              DefaultCacheBehavior:
                TargetOriginId: target
                ViewerProtocolPolicy: https-only
              Enabled: true
              Logging:
                Bucket: logging-bucket
              Origins:
                - DomainName: https://some.domain
                  Id: somedomain1
              WebACLId: waf_id
  bad:
    - |-
      Resources:
        BadExample:
          Type: AWS::CloudFront::Distribution
          Properties:
            DistributionConfig:
              DefaultCacheBehavior:
                TargetOriginId: target
                ViewerProtocolPolicy: allow-all
              Enabled: true
              Logging:
                Bucket: logging-bucket
              Origins:
                - DomainName: https://some.domain
                  Id: somedomain1
              WebACLId: waf_id
terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/cloudfront_distribution#viewer_protocol_policy
  good:
    - |-
      resource ""aws_cloudfront_distribution"" ""good_example"" {
        default_cache_behavior {
          viewer_protocol_policy = ""redirect-to-https""
        }
      }
  bad:
    - |-
      resource ""aws_cloudfront_distribution"" ""bad_example"" {
        default_cache_behavior {
          viewer_protocol_policy = ""allow-all""
        }
      }
    - |-
      resource ""aws_cloudfront_distribution"" ""bad_example"" {
        default_cache_behavior {
          viewer_protocol_policy = ""https-only""
        }
        ordered_cache_behavior {
          viewer_protocol_policy = ""allow-all""
        }
      }
"
AVD-AWS-0190,Ensure that response caching is enabled for your Amazon API Gateway REST APIs.,LOW,,"A REST API in API Gateway is a collection of resources and methods that are integrated with backend HTTP endpoints, Lambda functions, or other AWS services. You can enable API caching in Amazon API Gateway to cache your endpoint responses. With caching, you can reduce the number of calls made to your endpoint and also improve the latency of requests to your API.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_cache.rego,"package builtin.aws.apigateway.aws0190

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some stage in api.stages
	isManaged(stage)
	some settings in stage.restmethodsettings
	isManaged(settings)
	cache_is_not_enabled(settings)
	res := result.new(
		""Cache data is not enabled."",
		metadata.obj_by_path(settings, [""cacheenabled""]),
	)
}

cache_is_not_enabled(settings) if value.is_false(settings.cacheenabled)

cache_is_not_enabled(settings) if not settings.cacheenabled"
,,,,,apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_tracing.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/api_gateway_stage#xray_tracing_enabled
  good:
    - |-
      resource ""aws_api_gateway_rest_api"" ""test"" {}

      resource ""aws_api_gateway_stage"" ""good_example"" {
        stage_name           = ""prod""
        rest_api_id          = aws_api_gateway_rest_api.test.id
        deployment_id        = aws_api_gateway_deployment.test.id
        xray_tracing_enabled = true
      }
  bad:
    - |-
      resource ""aws_api_gateway_rest_api"" ""test"" {}

      resource ""aws_api_gateway_stage"" ""bad_example"" {
        stage_name           = ""prod""
        rest_api_id          = aws_api_gateway_rest_api.test.id
        deployment_id        = aws_api_gateway_deployment.test.id
        xray_tracing_enabled = false
      }
"
,,,,,cloudfront,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudfront/use_secure_tls_policy.yaml,"cloudformation:
  good:
    - |-
      Resources:
        GoodExample:
          Type: AWS::CloudFront::Distribution
          Properties:
            DistributionConfig:
              DefaultCacheBehavior:
                TargetOriginId: target
                ViewerProtocolPolicy: https-only
              Enabled: true
              Logging:
                Bucket: logging-bucket
              Origins:
                - DomainName: https://some.domain
                  Id: somedomain1
              ViewerCertificate:
                MinimumProtocolVersion: TLSv1.2_2025
    - |-
      Resources:
        GoodExample:
          Type: AWS::CloudFront::Distribution
          Properties:
            DistributionConfig:
              DefaultCacheBehavior:
                TargetOriginId: target
                ViewerProtocolPolicy: https-only
              Enabled: true
              Logging:
                Bucket: logging-bucket
              Origins:
                - DomainName: https://some.domain
                  Id: somedomain1
              ViewerCertificate:
                MinimumProtocolVersion: TLSv1.3_2025
    - |-
      Resources:
        GoodExample:
          Type: AWS::CloudFront::Distribution
          Properties:
            DistributionConfig:
              DefaultCacheBehavior:
                TargetOriginId: target
                ViewerProtocolPolicy: https-only
              Enabled: true
              Logging:
                Bucket: logging-bucket
              Origins:
                - DomainName: https://some.domain
                  Id: somedomain1
              ViewerCertificate:
                MinimumProtocolVersion: TLSv1.2_2021
  bad:
    - |-
      Resources:
        BadExample:
          Type: AWS::CloudFront::Distribution
          Properties:
            DistributionConfig:
              DefaultCacheBehavior:
                TargetOriginId: target
                ViewerProtocolPolicy: https-only
              Enabled: true
              Logging:
                Bucket: logging-bucket
              Origins:
                - DomainName: https://some.domain
                  Id: somedomain1
              ViewerCertificate:
                MinimumProtocolVersion: TLSv1.0
terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/cloudfront_distribution#minimum_protocol_version
  good:
    - |-
      resource ""aws_cloudfront_distribution"" ""good_example"" {
        viewer_certificate {
          cloudfront_default_certificate = false
          minimum_protocol_version       = ""TLSv1.2_2025""
        }
      }
    - |-
      resource ""aws_cloudfront_distribution"" ""good_example"" {
        viewer_certificate {
          cloudfront_default_certificate = false
          minimum_protocol_version       = ""TLSv1.3_2025""
        }
      }
    - |-
      resource ""aws_cloudfront_distribution"" ""good_example"" {
        viewer_certificate {
          cloudfront_default_certificate = false
          minimum_protocol_version       = ""TLSv1.2_2021""
        }
      }
    - |-
      resource ""aws_cloudfront_distribution"" ""good_example"" {
        viewer_certificate {
          cloudfront_default_certificate = true
          minimum_protocol_version       = ""TLSv1.0""
        }
      }
  bad:
    - |-
      resource ""aws_cloudfront_distribution"" ""bad_example"" {
        viewer_certificate {
          cloudfront_default_certificate = false
          minimum_protocol_version       = ""TLSv1.0""
        }
      }
    - |-
      resource ""aws_cloudfront_distribution"" ""bad_example"" {
        viewer_certificate {
          cloudfront_default_certificate = false
        }
      }
"
AVD-AWS-0013,CloudFront distribution uses outdated SSL/TLS protocols.,HIGH,,"You should not use outdated/insecure TLS versions for encryption. You should be using the latest TLS policies available.
Note: that setting *minimum_protocol_version = ""TLSv1.X""* is only possible when *cloudfront_default_certificate* is false (eg. you are not using the cloudfront.net domain name).
If *cloudfront_default_certificate* is true then the Cloudfront API will only allow setting *minimum_protocol_version = ""TLSv1""*, and setting it to any other value will result in a perpetual diff in your *terraform plan*'s.
The only option when using the cloudfront.net domain name is to ignore this rule.
",cloudfront,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudfront/use_secure_tls_policy.rego,"package builtin.aws.cloudfront.aws0013

import rego.v1

protocol_version_tls1_2_2021 := ""TLSv1.2_2021""
protocol_version_tls1_2_2025 := ""TLSv1.2_2025""
protocol_version_tls1_3_2025 := ""TLSv1.3_2025""

allowed_minimum_protocol_versions := {
	protocol_version_tls1_2_2021,
	protocol_version_tls1_2_2025,
	protocol_version_tls1_3_2025,
}

import data.lib.cloud.metadata

deny contains res if {
	some dist in input.aws.cloudfront.distributions
	not dist.viewercertificate.cloudfrontdefaultcertificate.value
	not has_allowed_minimum_protocol_version(dist)
	res := result.new(
		""Distribution uses an insecure minimum TLS protocol version."",
		metadata.obj_by_path(dist, [""viewercertificate"", ""minimumprotocolversion""]),
	)
}

has_allowed_minimum_protocol_version(dist) := dist.viewercertificate.minimumprotocolversion.value in allowed_minimum_protocol_versions"
,,,,,apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/no_public_access.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/api_gateway_method#authorization
  good:
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_resource"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.MyDemoAPI.id
      }

      resource ""aws_api_gateway_method"" ""good_example"" {
        rest_api_id   = aws_api_gateway_rest_api.example.id
        resource_id   = aws_api_gateway_resource.example.id
        http_method   = ""GET""
        authorization = ""AWS_IAM""
      }
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_resource"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method"" ""good_example"" {
        rest_api_id      = aws_api_gateway_rest_api.example.id
        resource_id      = aws_api_gateway_resource.example.id
        http_method      = ""GET""
        authorization    = ""NONE""
        api_key_required = true
      }
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_resource"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method"" ""good_example"" {
        rest_api_id   = aws_api_gateway_rest_api.example.id
        resource_id   = aws_api_gateway_resource.example.id
        http_method   = ""OPTION""
        authorization = ""NONE""
      }
  bad:
    - |-
      resource ""aws_api_gateway_rest_api"" ""MyDemoAPI"" {}

      resource ""aws_api_gateway_resource"" ""MyDemoResource"" {
        rest_api_id = aws_api_gateway_rest_api.MyDemoAPI.id
      }

      resource ""aws_api_gateway_method"" ""bad_example"" {
        rest_api_id   = aws_api_gateway_rest_api.MyDemoAPI.id
        resource_id   = aws_api_gateway_resource.MyDemoResource.id
        http_method   = ""GET""
        authorization = ""NONE""
      }
"
AVD-AWS-0014,Cloudtrail should be enabled in all regions regardless of where your AWS resources are generally homed,MEDIUM,,"Activity could be happening in your account in a different region. When creating Cloudtrail in the AWS Management Console the trail is configured by default to be multi-region, this isn't the case with the Terraform resource. Cloudtrail should cover the full AWS account to ensure you can track changes in regions you are not actively operating in.
",cloudtrail,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudtrail/enable_all_regions.rego,"package builtin.aws.cloudtrail.aws0014

import rego.v1

import data.lib.cloud.metadata

deny contains res if {
	some trail in input.aws.cloudtrail.trails
	not trail.ismultiregion.value
	res := result.new(
		""Trail is not enabled across all regions."",
		metadata.obj_by_path(trail, [""ismultiregion""]),
	)
}"
,,,,,cloudtrail,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudtrail/enable_all_regions.yaml,"cloudformation:
  good:
    - |-
      Resources:
        GoodExample:
          Type: AWS::CloudTrail::Trail
          Properties:
            IsLogging: true
            IsMultiRegionTrail: true
            S3BucketName: CloudtrailBucket
            S3KeyPrefix: /trailing
            TrailName: Cloudtrail
  bad:
    - |-
      Resources:
        BadExample:
          Type: AWS::CloudTrail::Trail
          Properties:
            IsLogging: true
            IsMultiRegionTrail: false
            S3BucketName: CloudtrailBucket
            S3KeyPrefix: /trailing
            TrailName: Cloudtrail
terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/cloudtrail#is_multi_region_trail
  good:
    - |-
      resource ""aws_cloudtrail"" ""good_example"" {
        is_multi_region_trail = true
      }
  bad:
    - |-
      resource ""aws_cloudtrail"" ""bad_example"" {

      }
"
AVD-AWS-0007,Athena workgroups should enforce configuration to prevent client disabling encryption,HIGH,,"Clients can ignore encryption requirements without enforced configuration. Athena workgroup configuration should be enforced to prevent client side changes to disable encryption settings.
",athena,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/athena/no_encryption_override.rego,"package builtin.aws.athena.aws0007

import rego.v1

import data.lib.cloud.metadata

deny contains res if {
	some workgroup in input.aws.athena.workgroups
	not workgroup.enforceconfiguration.value
	res := result.new(
		""The workgroup configuration is not enforced."",
		metadata.obj_by_path(workgroup, [""enforceconfiguration""]),
	)
}"
