resource_type,service,n_properties,n_property_types,n_required,required_properties,out_degree,in_degree
AWS::ApiGatewayV2::Authorizer,ApiGatewayV2,11,1,3,AuthorizerType|ApiId|Name,12,0
AWS::ApiGatewayV2::Deployment,ApiGatewayV2,3,0,1,ApiId,3,0
AWS::ApiGatewayV2::DomainName,ApiGatewayV2,5,2,1,DomainName,7,0
AWS::ApiGatewayV2::Integration,ApiGatewayV2,18,3,2,ApiId|IntegrationType,21,0
AWS::ApiGatewayV2::IntegrationResponse,ApiGatewayV2,7,0,3,IntegrationId|IntegrationResponseKey|ApiId,7,0
AWS::ApiGatewayV2::Model,ApiGatewayV2,5,0,3,Schema|ApiId|Name,5,0
AWS::ApiGatewayV2::Route,ApiGatewayV2,12,0,2,RouteKey|ApiId,12,0
AWS::ApiGatewayV2::RouteResponse,ApiGatewayV2,6,1,3,RouteResponseKey|RouteId|ApiId,7,0
AWS::ApiGatewayV2::RoutingRule,ApiGatewayV2,4,6,4,Actions|Priority|DomainNameArn|Conditions,10,0
AWS::ApiGatewayV2::Stage,ApiGatewayV2,11,2,2,StageName|ApiId,13,0
AWS::ApiGatewayV2::VpcLink,ApiGatewayV2,4,0,2,SubnetIds|Name,4,0
AWS::AppConfig::Application,AppConfig,3,1,1,Name,4,0
AWS::AppConfig::ConfigurationProfile,AppConfig,10,2,3,LocationUri|ApplicationId|Name,12,0
AWS::AppConfig::Deployment,AppConfig,9,1,5,DeploymentStrategyId|ConfigurationProfileId|EnvironmentId|ConfigurationVersion|ApplicationId,10,0
AWS::AppConfig::DeploymentStrategy,AppConfig,8,0,4,ReplicateTo|DeploymentDurationInMinutes|GrowthFactor|Name,8,0
AWS::AppConfig::Environment,AppConfig,6,1,2,ApplicationId|Name,7,0
AWS::AppConfig::Extension,AppConfig,6,1,2,Actions|Name,7,0
AWS::AppConfig::ExtensionAssociation,AppConfig,5,0,0,,5,0
AWS::AppConfig::HostedConfigurationVersion,AppConfig,7,0,4,ConfigurationProfileId|ContentType|Content|ApplicationId,7,0
AWS::AppFlow::Connector,AppFlow,4,2,2,ConnectorProvisioningType|ConnectorProvisioningConfig,6,0
AWS::AppFlow::ConnectorProfile,AppFlow,6,43,3,ConnectorProfileName|ConnectorType|ConnectionMode,49,0
AWS::AppFlow::Flow,AppFlow,10,50,5,Tasks|FlowName|TriggerConfig|DestinationFlowConfigList|SourceFlowConfig,60,0
AWS::AppIntegrations::Application,AppIntegrations,10,5,4,ApplicationSourceConfig|Description|Namespace|Name,15,0
AWS::AppIntegrations::DataIntegration,AppIntegrations,8,2,3,SourceURI|KmsKey|Name,10,0
AWS::AppIntegrations::EventIntegration,AppIntegrations,5,1,3,EventBridgeBus|EventFilter|Name,6,0
AWS::AppMesh::GatewayRoute,AppMesh,6,23,3,MeshName|VirtualGatewayName|Spec,29,0
AWS::AppMesh::Mesh,AppMesh,3,3,0,,6,0
AWS::AppMesh::Route,AppMesh,6,25,3,MeshName|VirtualRouterName|Spec,31,0
AWS::AppMesh::VirtualGateway,AppMesh,5,31,2,MeshName|Spec,36,0
AWS::AppMesh::VirtualNode,AppMesh,5,44,2,MeshName|Spec,49,0
AWS::AppMesh::VirtualRouter,AppMesh,5,3,2,MeshName|Spec,8,0
AWS::AppMesh::VirtualService,AppMesh,5,4,3,MeshName|VirtualServiceName|Spec,9,0
AWS::AppRunner::AutoScalingConfiguration,AppRunner,5,0,0,,5,0
AWS::AppRunner::ObservabilityConfiguration,AppRunner,3,1,0,,4,0
AWS::AppRunner::Service,AppRunner,9,16,1,SourceConfiguration,25,0
AWS::AppRunner::VpcConnector,AppRunner,4,0,1,Subnets,4,0
AWS::AppRunner::VpcIngressConnection,AppRunner,4,1,2,ServiceArn|IngressVpcConfiguration,5,0
AWS::AppStream::AppBlock,AppStream,8,2,2,SourceS3Location|Name,10,0
AWS::AppStream::AppBlockBuilder,AppStream,11,2,4,Platform|VpcConfig|InstanceType|Name,13,0
AWS::AppStream::Application,AppStream,12,1,6,Platforms|AppBlockArn|InstanceFamilies|LaunchPath|Name|IconS3Location,13,0
AWS::AppStream::ApplicationEntitlementAssociation,AppStream,3,0,3,EntitlementName|ApplicationIdentifier|StackName,3,0
AWS::AppStream::ApplicationFleetAssociation,AppStream,2,0,2,FleetName|ApplicationArn,2,0
AWS::AppStream::DirectoryConfig,AppStream,4,2,3,OrganizationalUnitDistinguishedNames|ServiceAccountCredentials|DirectoryName,6,0
AWS::AppStream::Entitlement,AppStream,5,1,4,AppVisibility|Attributes|StackName|Name,6,0
AWS::AppStream::Fleet,AppStream,24,5,2,Name|InstanceType,29,0
AWS::AppStream::ImageBuilder,AppStream,16,4,2,Name|InstanceType,20,0
AWS::AppStream::Stack,AppStream,14,5,0,,19,0
AWS::AppStream::StackFleetAssociation,AppStream,2,0,2,FleetName|StackName,2,0
AWS::AppStream::StackUserAssociation,AppStream,4,0,3,UserName|StackName|AuthenticationType,4,0
AWS::AppStream::User,AppStream,5,0,2,UserName|AuthenticationType,5,0
AWS::AppSync::Api,AppSync,4,8,1,Name,12,0
AWS::AppSync::ApiCache,AppSync,7,0,4,Type|ApiId|ApiCachingBehavior|Ttl,7,0
AWS::AppSync::ApiKey,AppSync,4,0,1,ApiId,4,0
AWS::AppSync::ChannelNamespace,AppSync,8,5,2,ApiId|Name,13,0
AWS::AppSync::DataSource,AppSync,12,10,3,Type|ApiId|Name,22,0
AWS::AppSync::DomainName,AppSync,4,0,2,DomainName|CertificateArn,4,0
AWS::AppSync::DomainNameApiAssociation,AppSync,2,0,2,DomainName|ApiId,2,0
AWS::AppSync::FunctionConfiguration,AppSync,14,3,3,Name|DataSourceName|ApiId,17,0
AWS::AppSync::GraphQLApi,AppSync,18,7,2,Name|AuthenticationType,25,0
AWS::AppSync::GraphQLSchema,AppSync,3,0,1,ApiId,3,0
AWS::AppSync::Resolver,AppSync,17,5,3,TypeName|ApiId|FieldName,22,0
AWS::AppSync::SourceApiAssociation,AppSync,4,1,0,,5,0
AWS::AppTest::TestCase,AppTest,4,24,2,Steps|Name,28,0
AWS::ApplicationAutoScaling::ScalableTarget,ApplicationAutoScaling,8,3,5,ResourceId|ServiceNamespace|ScalableDimension|MinCapacity|MaxCapacity,11,0
AWS::ApplicationAutoScaling::ScalingPolicy,ApplicationAutoScaling,9,22,2,PolicyType|PolicyName,31,0
AWS::ApplicationInsights::Application,ApplicationInsights,12,18,1,ResourceGroupName,30,0
AWS::ApplicationSignals::Discovery,ApplicationSignals,0,0,0,,0,0
AWS::ApplicationSignals::GroupingConfiguration,ApplicationSignals,1,1,1,GroupingAttributeDefinitions,2,0
AWS::ApplicationSignals::ServiceLevelObjective,ApplicationSignals,8,18,1,Name,26,0
AWS::Athena::CapacityReservation,Athena,4,2,2,TargetDpus|Name,6,0
AWS::Athena::DataCatalog,Athena,8,0,2,Type|Name,8,0
AWS::Athena::NamedQuery,Athena,5,0,2,QueryString|Database,5,0
AWS::Athena::PreparedStatement,Athena,4,0,3,StatementName|WorkGroup|QueryStatement,4,0
AWS::Athena::WorkGroup,Athena,6,14,1,Name,20,0
AWS::AuditManager::Assessment,AuditManager,10,6,0,,16,0
AWS::AutoScaling::AutoScalingGroup,AutoScaling,37,30,2,MaxSize|MinSize,67,0
AWS::AutoScaling::LaunchConfiguration,AutoScaling,19,3,2,ImageId|InstanceType,22,0
AWS::AutoScaling::LifecycleHook,AutoScaling,8,0,2,LifecycleTransition|AutoScalingGroupName,8,0
AWS::AutoScaling::ScalingPolicy,AutoScaling,11,18,1,AutoScalingGroupName,29,0
AWS::AutoScaling::ScheduledAction,AutoScaling,8,0,1,AutoScalingGroupName,8,0
AWS::AutoScaling::WarmPool,AutoScaling,5,1,1,AutoScalingGroupName,6,0
AWS::AutoScalingPlans::ScalingPlan,AutoScalingPlans,2,9,2,ApplicationSource|ScalingInstructions,11,0
AWS::B2BI::Capability,B2BI,5,5,3,Type|Configuration|Name,10,0
AWS::B2BI::Partnership,B2BI,7,12,4,ProfileId|Email|Capabilities|Name,19,0
AWS::B2BI::Profile,B2BI,6,0,4,Logging|BusinessName|Phone|Name,6,0
AWS::B2BI::Transformer,B2BI,7,15,2,Status|Name,22,0
AWS::BCMDataExports::Export,BCMDataExports,2,7,1,Export,9,0
AWS::Backup::BackupPlan,Backup,2,8,1,BackupPlan,10,0
AWS::Backup::BackupSelection,Backup,2,4,2,BackupSelection|BackupPlanId,6,0
AWS::Backup::BackupVault,Backup,6,2,1,BackupVaultName,8,0
AWS::Backup::Framework,Backup,4,3,1,FrameworkControls,7,0
AWS::Backup::LogicallyAirGappedBackupVault,Backup,8,1,3,BackupVaultName|MaxRetentionDays|MinRetentionDays,9,0
AWS::Backup::ReportPlan,Backup,5,2,2,ReportSetting|ReportDeliveryChannel,7,0
AWS::Backup::RestoreTestingPlan,Backup,6,1,3,ScheduleExpression|RecoveryPointSelection|RestoreTestingPlanName,7,0
AWS::Backup::RestoreTestingSelection,Backup,8,2,4,ProtectedResourceType|RestoreTestingSelectionName|RestoreTestingPlanName|IamRoleArn,10,0
AWS::Backup::TieringConfiguration,Backup,4,1,3,TieringConfigurationName|BackupVaultName|ResourceSelection,5,0
AWS::BackupGateway::Hypervisor,BackupGateway,7,0,0,,7,0
AWS::Batch::ComputeEnvironment,Batch,11,7,1,Type,18,0
AWS::Batch::ConsumableResource,Batch,4,0,2,TotalQuantity|ResourceType,4,0
AWS::Batch::JobDefinition,Batch,15,49,1,Type,64,0
AWS::Batch::JobQueue,Batch,9,3,1,Priority,12,0
AWS::Batch::QuotaShare,Batch,7,3,5,PreemptionConfiguration|JobQueue|ResourceSharingConfiguration|CapacityLimits|QuotaShareName,10,0
AWS::Batch::SchedulingPolicy,Batch,4,3,0,,7,0
AWS::Batch::ServiceEnvironment,Batch,5,1,2,ServiceEnvironmentType|CapacityLimits,6,0
AWS::Bedrock::Agent,Bedrock,20,18,1,AgentName,38,0
AWS::Bedrock::AgentAlias,Bedrock,5,2,2,AgentAliasName|AgentId,7,0
AWS::Bedrock::ApplicationInferenceProfile,Bedrock,4,2,1,InferenceProfileName,6,0
AWS::Bedrock::AutomatedReasoningPolicy,Bedrock,6,5,1,Name,11,0
AWS::Bedrock::AutomatedReasoningPolicyVersion,Bedrock,3,0,1,PolicyArn,3,0
AWS::Bedrock::Blueprint,Bedrock,6,0,3,Type|BlueprintName|Schema,6,0
AWS::Bedrock::DataAutomationProject,Bedrock,9,40,1,ProjectName,49,0
AWS::Bedrock::DataSource,Bedrock,7,40,3,KnowledgeBaseId|DataSourceConfiguration|Name,47,0
AWS::Bedrock::Flow,Bedrock,10,45,2,ExecutionRoleArn|Name,55,0
AWS::Bedrock::FlowAlias,Bedrock,6,2,3,RoutingConfiguration|FlowArn|Name,8,0
AWS::Bedrock::FlowVersion,Bedrock,2,43,1,FlowArn,45,0
AWS::Bedrock::Guardrail,Bedrock,13,16,3,Name|BlockedInputMessaging|BlockedOutputsMessaging,29,0
AWS::Bedrock::GuardrailVersion,Bedrock,2,0,1,GuardrailIdentifier,2,0
AWS::Bedrock::IntelligentPromptRouter,Bedrock,6,2,4,PromptRouterName|FallbackModel|RoutingCriteria|Models,8,0
AWS::Bedrock::KnowledgeBase,Bedrock,6,41,3,KnowledgeBaseConfiguration|RoleArn|Name,47,0
AWS::Bedrock::Prompt,Bedrock,6,21,1,Name,27,0
AWS::Bedrock::PromptVersion,Bedrock,3,20,1,PromptArn,23,0
AWS::BedrockAgentCore::ApiKeyCredentialProvider,BedrockAgentCore,3,1,1,Name,4,0
AWS::BedrockAgentCore::BrowserCustom,BedrockAgentCore,7,5,2,NetworkConfiguration|Name,12,0
AWS::BedrockAgentCore::BrowserProfile,BedrockAgentCore,3,0,1,Name,3,0
AWS::BedrockAgentCore::CodeInterpreterCustom,BedrockAgentCore,5,2,2,NetworkConfiguration|Name,7,0
AWS::BedrockAgentCore::Evaluator,BedrockAgentCore,5,10,3,Level|EvaluatorName|EvaluatorConfig,15,0
AWS::BedrockAgentCore::Gateway,BedrockAgentCore,12,13,4,AuthorizerType|ProtocolType|RoleArn|Name,25,0
AWS::BedrockAgentCore::GatewayTarget,BedrockAgentCore,6,18,2,TargetConfiguration|Name,24,0
AWS::BedrockAgentCore::Memory,BedrockAgentCore,8,30,2,EventExpiryDuration|Name,38,0
AWS::BedrockAgentCore::OnlineEvaluationConfig,BedrockAgentCore,8,10,5,OnlineEvaluationConfigName|DataSourceConfig|EvaluationExecutionRoleArn|Evaluators|Rule,18,0
AWS::BedrockAgentCore::Policy,BedrockAgentCore,5,2,3,PolicyEngineId|Definition|Name,7,0
AWS::BedrockAgentCore::PolicyEngine,BedrockAgentCore,4,0,1,Name,4,0
AWS::BedrockAgentCore::Runtime,BedrockAgentCore,11,15,4,NetworkConfiguration|AgentRuntimeName|AgentRuntimeArtifact|RoleArn,26,0
AWS::BedrockAgentCore::RuntimeEndpoint,BedrockAgentCore,5,0,2,AgentRuntimeId|Name,5,0
AWS::BedrockAgentCore::WorkloadIdentity,BedrockAgentCore,3,0,1,Name,3,0
AWS::BedrockMantle::Project,BedrockMantle,2,0,1,Name,2,0
AWS::Billing::BillingView,Billing,5,4,2,SourceViews|Name,9,0
AWS::BillingConductor::BillingGroup,BillingConductor,6,2,3,ComputationPreference|AccountGrouping|Name,8,0
AWS::BillingConductor::CustomLineItem,BillingConductor,9,6,2,BillingGroupArn|Name,15,0
AWS::BillingConductor::PricingPlan,BillingConductor,4,0,1,Name,4,0
AWS::BillingConductor::PricingRule,BillingConductor,11,2,3,Type|Scope|Name,13,0
AWS::Budgets::Budget,Budgets,3,14,1,Budget,17,0
AWS::Budgets::BudgetsAction,Budgets,9,7,7,ExecutionRoleArn|ActionType|NotificationType|ActionThreshold|Definition|Subscribers|BudgetName,16,0
AWS::CE::AnomalyMonitor,CE,5,1,2,MonitorType|MonitorName,6,0
AWS::CE::AnomalySubscription,CE,7,2,4,MonitorArnList|Frequency|SubscriptionName|Subscribers,9,0
AWS::CE::CostCategory,CE,6,1,3,RuleVersion|Rules|Name,7,0
AWS::CUR::ReportDefinition,CUR,13,0,9,Compression|RefreshClosedReports|ReportVersioning|S3Prefix|ReportName|Format|S3Bucket|S3Region|TimeUnit,13,0
AWS::Cases::CaseRule,Cases,5,7,2,Rule|Name,12,0
AWS::Cases::Domain,Cases,2,0,1,Name,2,0
AWS::Cases::Field,Cases,6,2,2,Type|Name,8,0
AWS::Cases::Layout,Cases,4,6,2,Content|Name,10,0
AWS::Cases::Template,Cases,8,3,1,Name,11,0
AWS::Cassandra::Keyspace,Cassandra,4,1,0,,5,0
AWS::Cassandra::Table,Cassandra,15,12,2,KeyspaceName|PartitionKeyColumns,27,0
AWS::Cassandra::Type,Cassandra,3,1,3,TypeName|Fields|KeyspaceName,4,0
AWS::CertificateManager::Account,CertificateManager,1,1,1,ExpiryEventsConfiguration,2,0
AWS::CertificateManager::Certificate,CertificateManager,9,1,1,DomainName,10,0
AWS::Chatbot::CustomAction,Chatbot,5,3,2,ActionName|Definition,8,0
AWS::Chatbot::MicrosoftTeamsChannelConfiguration,Chatbot,12,0,5,IamRoleArn|TeamId|ConfigurationName|TeamsTenantId|TeamsChannelId,12,0
AWS::Chatbot::SlackChannelConfiguration,Chatbot,10,0,4,SlackWorkspaceId|SlackChannelId|IamRoleArn|ConfigurationName,10,0
AWS::CleanRooms::AnalysisTemplate,CleanRooms,11,14,4,MembershipIdentifier|Format|Source|Name,25,0
AWS::CleanRooms::Collaboration,CleanRooms,15,10,4,CreatorDisplayName|Description|Name|QueryLogStatus,25,0
AWS::CleanRooms::ConfiguredTable,CleanRooms,8,16,4,AnalysisMethod|TableReference|AllowedColumns|Name,24,0
AWS::CleanRooms::ConfiguredTableAssociation,CleanRooms,7,6,4,MembershipIdentifier|ConfiguredTableIdentifier|RoleArn|Name,13,0
AWS::CleanRooms::IdMappingTable,CleanRooms,6,3,3,MembershipIdentifier|InputReferenceConfig|Name,9,0
AWS::CleanRooms::IdNamespaceAssociation,CleanRooms,6,3,3,MembershipIdentifier|InputReferenceConfig|Name,9,0
AWS::CleanRooms::Membership,CleanRooms,8,13,2,CollaborationIdentifier|QueryLogStatus,21,0
AWS::CleanRooms::PrivacyBudgetTemplate,CleanRooms,5,2,4,PrivacyBudgetType|MembershipIdentifier|Parameters|AutoRefresh,7,0
AWS::CleanRoomsML::ConfiguredModelAlgorithm,CleanRoomsML,7,3,2,RoleArn|Name,10,0
AWS::CleanRoomsML::ConfiguredModelAlgorithmAssociation,CleanRoomsML,6,12,3,MembershipIdentifier|ConfiguredModelAlgorithmArn|Name,18,0
AWS::CleanRoomsML::TrainingDataset,CleanRoomsML,5,5,3,TrainingData|RoleArn|Name,10,0
AWS::Cloud9::EnvironmentEC2,Cloud9,10,1,2,ImageId|InstanceType,11,0
AWS::CloudFormation::CustomResource,CloudFormation,2,0,1,ServiceToken,2,0
AWS::CloudFormation::GuardHook,CloudFormation,10,7,6,RuleLocation|HookStatus|Alias|TargetOperations|ExecutionRole|FailureMode,17,0
AWS::CloudFormation::HookDefaultVersion,CloudFormation,3,0,0,,3,0
AWS::CloudFormation::HookTypeConfig,CloudFormation,4,0,1,Configuration,4,0
AWS::CloudFormation::HookVersion,CloudFormation,4,1,2,TypeName|SchemaHandlerPackage,5,0
AWS::CloudFormation::LambdaHook,CloudFormation,8,5,6,HookStatus|Alias|TargetOperations|LambdaFunction|ExecutionRole|FailureMode,13,0
AWS::CloudFormation::Macro,CloudFormation,5,0,2,FunctionName|Name,5,0
AWS::CloudFormation::ModuleDefaultVersion,CloudFormation,3,0,0,,3,0
AWS::CloudFormation::ModuleVersion,CloudFormation,2,0,2,ModulePackage|ModuleName,2,0
AWS::CloudFormation::PublicTypeVersion,CloudFormation,5,0,0,,5,0
AWS::CloudFormation::Publisher,CloudFormation,2,0,1,AcceptTermsAndConditions,2,0
AWS::CloudFormation::ResourceDefaultVersion,CloudFormation,3,0,0,,3,0
AWS::CloudFormation::ResourceVersion,CloudFormation,4,1,2,TypeName|SchemaHandlerPackage,5,0
AWS::CloudFormation::Stack,CloudFormation,5,0,1,TemplateURL,5,0
AWS::CloudFormation::StackSet,CloudFormation,15,6,2,StackSetName|PermissionModel,21,0
AWS::CloudFormation::TypeActivation,CloudFormation,10,1,0,,11,0
AWS::CloudFormation::WaitCondition,CloudFormation,3,0,0,,3,0
AWS::CloudFormation::WaitConditionHandle,CloudFormation,0,0,0,,0,0
AWS::CloudFront::AnycastIpList,CloudFront,5,4,2,IpCount|Name,9,0
AWS::CloudFront::CachePolicy,CloudFront,1,5,1,CachePolicyConfig,6,0
AWS::CloudFront::CloudFrontOriginAccessIdentity,CloudFront,1,1,1,CloudFrontOriginAccessIdentityConfig,2,0
AWS::CloudFront::ConnectionFunction,CloudFront,5,2,3,ConnectionFunctionConfig|ConnectionFunctionCode|Name,7,0
AWS::CloudFront::ConnectionGroup,CloudFront,5,0,1,Name,5,0
AWS::CloudFront::ContinuousDeploymentPolicy,CloudFront,1,7,1,ContinuousDeploymentPolicyConfig,8,0
AWS::CloudFront::Distribution,CloudFront,2,35,1,DistributionConfig,37,0
AWS::CloudFront::DistributionTenant,CloudFront,9,7,3,Domains|DistributionId|Name,16,0
AWS::CloudFront::Function,CloudFront,5,3,3,FunctionConfig|FunctionCode|Name,8,0
AWS::CloudFront::KeyGroup,CloudFront,1,1,1,KeyGroupConfig,2,0
AWS::CloudFront::KeyValueStore,CloudFront,4,1,1,Name,5,0
AWS::CloudFront::MonitoringSubscription,CloudFront,2,2,2,MonitoringSubscription|DistributionId,4,0
AWS::CloudFront::OriginAccessControl,CloudFront,1,1,1,OriginAccessControlConfig,2,0
AWS::CloudFront::OriginRequestPolicy,CloudFront,1,4,1,OriginRequestPolicyConfig,5,0
AWS::CloudFront::PublicKey,CloudFront,1,1,1,PublicKeyConfig,2,0
AWS::CloudFront::RealtimeLogConfig,CloudFront,4,2,4,Fields|EndPoints|SamplingRate|Name,6,0
AWS::CloudFront::ResponseHeadersPolicy,CloudFront,1,18,1,ResponseHeadersPolicyConfig,19,0
AWS::CloudFront::StreamingDistribution,CloudFront,2,4,2,StreamingDistributionConfig|Tags,6,0
AWS::CloudFront::TrustStore,CloudFront,3,2,1,Name,5,0
AWS::CloudFront::VpcOrigin,CloudFront,2,1,1,VpcOriginEndpointConfig,3,0
AWS::CloudTrail::Channel,CloudTrail,4,1,0,,5,0
AWS::CloudTrail::Dashboard,CloudTrail,5,3,0,,8,0
AWS::CloudTrail::EventDataStore,CloudTrail,16,4,0,,20,0
AWS::CloudTrail::ResourcePolicy,CloudTrail,2,0,2,ResourceArn|ResourcePolicy,2,0
AWS::CloudTrail::Trail,CloudTrail,17,6,2,S3BucketName|IsLogging,23,0
AWS::CloudWatch::Alarm,CloudWatch,22,4,0,,26,0
AWS::CloudWatch::AlarmMuteRule,CloudWatch,7,3,1,Rule,10,0
AWS::CloudWatch::AnomalyDetector,CloudWatch,8,10,0,,18,0
AWS::CloudWatch::CompositeAlarm,CloudWatch,11,0,1,AlarmRule,11,0
AWS::CloudWatch::Dashboard,CloudWatch,2,0,1,DashboardBody,2,0
AWS::CloudWatch::InsightRule,CloudWatch,5,1,3,RuleState|RuleBody|RuleName,6,0
AWS::CloudWatch::MetricStream,CloudWatch,9,3,3,FirehoseArn|OutputFormat|RoleArn,12,0
AWS::CodeArtifact::Domain,CodeArtifact,4,0,1,DomainName,4,0
AWS::CodeArtifact::PackageGroup,CodeArtifact,7,3,2,Pattern|DomainName,10,0
AWS::CodeArtifact::Repository,CodeArtifact,8,0,2,DomainName|RepositoryName,8,0
AWS::CodeBuild::Fleet,CodeBuild,12,6,0,,18,0
AWS::CodeBuild::Project,CodeBuild,25,24,4,Source|ServiceRole|Artifacts|Environment,49,0
AWS::CodeBuild::ReportGroup,CodeBuild,5,2,2,Type|ExportConfig,7,0
AWS::CodeBuild::SourceCredential,CodeBuild,4,0,3,ServerType|Token|AuthType,4,0
AWS::CodeCommit::Repository,CodeCommit,6,3,1,RepositoryName,9,0
AWS::CodeConnections::Connection,CodeConnections,4,0,1,ConnectionName,4,0
AWS::CodeDeploy::Application,CodeDeploy,3,0,0,,3,0
AWS::CodeDeploy::DeploymentConfig,CodeDeploy,5,6,0,,11,0
AWS::CodeDeploy::DeploymentGroup,CodeDeploy,20,25,2,ApplicationName|ServiceRoleArn,45,0
AWS::CodeGuruProfiler::ProfilingGroup,CodeGuruProfiler,5,2,1,ProfilingGroupName,7,0
AWS::CodeGuruReviewer::RepositoryAssociation,CodeGuruReviewer,6,0,2,Type|Name,6,0
AWS::CodePipeline::CustomActionType,CodePipeline,8,3,5,Category|InputArtifactDetails|Version|OutputArtifactDetails|Provider,11,0
AWS::CodePipeline::Pipeline,CodePipeline,12,26,2,Stages|RoleArn,38,0
AWS::CodePipeline::Webhook,CodePipeline,8,2,5,AuthenticationConfiguration|Filters|Authentication|TargetPipeline|TargetAction,10,0
AWS::CodeStar::GitHubRepository,CodeStar,8,2,2,RepositoryName|RepositoryOwner,10,0
AWS::CodeStarConnections::Connection,CodeStarConnections,4,0,1,ConnectionName,4,0
AWS::CodeStarConnections::RepositoryLink,CodeStarConnections,5,0,3,OwnerId|ConnectionArn|RepositoryName,5,0
