Error Message,Count,Percentage,claude-3-5,claude-3-7,deepseek-r1,deepseek-s3,gpt-4o,o3-mini,deployment,syntax_validation,yaml_validation
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [S3BucketName] must have values,18,0.2,0,2,0,3,9,4,18,0,0
"'Boolean' is not one of ['String', 'Number', 'CommaDelimitedList', 'AWS::EC2::AvailabilityZone::Name', 'AWS::EC2::Image::Id', 'AWS::EC2::Instance::Id', 'AWS::EC2::KeyPair::KeyName', 'AWS::EC2::SecurityGroup::GroupName', 'AWS::EC2::SecurityGroup::Id', 'AWS::EC2::Subnet::Id', 'AWS::EC2::VPC::Id', 'AWS::EC2::Volume::Id', 'AWS::Route53::HostedZone::Id', 'AWS::SSM::Parameter::Name', 'AWS::SSM::Parameter::Value<AWS::EC2::AvailabilityZone::Name>', 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::Instance::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::KeyPair::KeyName>', 'AWS::SSM::Parameter::Value<AWS::EC2::SecurityGroup::GroupName>', 'AWS::SSM::Parameter::Value<AWS::EC2::SecurityGroup::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::Subnet::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::VPC::Id>', 'AWS::SSM::Parameter::Value<AWS::EC2::Volume::Id>', 'AWS::SSM::Parameter::Value<AWS::Route53::HostedZone::Id>', 'AWS::SSM::Parameter::Value<AWS::SSM::Parameter::Name>', 'AWS::SSM::Parameter::Value<Number>', 'AWS::SSM::Parameter::Value<String>', 'AWS::SSM::Parameter::Value<CommaDelimitedList>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::AvailabilityZone::Name>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Image::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Instance::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::SecurityGroup::GroupName>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::SecurityGroup::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Subnet::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::VPC::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::EC2::Volume::Id>>', 'AWS::SSM::Parameter::Value<List<AWS::Route53::HostedZone::Id>>', 'AWS::SSM::Parameter::Value<List<Number>>', 'AWS::SSM::Parameter::Value<List<String>>', 'List<AWS::EC2::AvailabilityZone::Name>', 'List<AWS::EC2::Image::Id>', 'List<AWS::EC2::Instance::Id>', 'List<AWS::EC2::SecurityGroup::GroupName>', 'List<AWS::EC2::SecurityGroup::Id>', 'List<AWS::EC2::Subnet::Id>', 'List<AWS::EC2::VPC::Id>', 'List<AWS::EC2::Volume::Id>', 'List<AWS::Route53::HostedZone::Id>', 'List<Number>', 'List<String>']",18,0.2,0,0,12,6,0,0,0,18,0
'BasicAuthParameters' is a required property,17,0.19,0,15,2,0,0,0,0,17,0
'OAuthParameters' is a required property,17,0.19,0,15,2,0,0,0,0,17,0
'ApiKeyAuthParameters' is a required property,17,0.19,0,15,2,0,0,0,0,17,0
"['FromPort', 'ToPort'] are ignored when using 'IpProtocol' value '-1'",17,0.19,10,0,1,2,0,4,0,17,0
'GatingRule' is a required property,17,0.19,0,8,5,0,0,4,0,17,0
'VpcId' is a dependency of 'SecurityGroupEgress',17,0.19,1,3,6,6,0,1,0,17,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SubnetId] must have values,16,0.17,1,0,1,0,8,6,16,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [FallbackEmailEndpoint] must have values,16,0.17,3,0,6,7,0,0,16,0,0
Additional properties are not allowed ('DependsOn' was unexpected),16,0.17,0,1,6,4,3,2,0,16,0
Additional properties are not allowed ('ApiKey' was unexpected),15,0.16,0,15,0,0,0,0,0,15,0
"'SecureString' is not one of ['String', 'StringList']",15,0.16,0,6,3,6,0,0,0,15,0
Resource type 'AWS::ECR::RepositoryPolicy' does not exist in 'us-east-1',15,0.16,0,3,3,3,5,1,0,15,0
"'DNSName' is not one of ['Arn', 'FileSystemId', 'ReplicationConfiguration.Destinations.*.Status', 'ReplicationConfiguration.Destinations.*.StatusMessage'] in ['us-east-1']",15,0.16,0,0,3,12,0,0,0,15,0
'Arn' is not one of ['Id'] in ['us-east-1'],15,0.16,2,2,3,5,0,3,0,15,0
Parameter validation failed: parameter value  for parameter name KeyName does not exist. Delete requested by user.,15,0.16,0,0,1,3,2,9,15,0,0
"'PrivateIpAddresses' is not one of ['Id', 'SecondaryPrivateIpAddresses', 'PrimaryPrivateIpAddress', 'PrimaryIpv6Address', 'VpcId'] in ['us-east-1']",14,0.15,0,0,0,0,14,0,0,14,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [IdentityManagementAccountId, ToolingManagementAccountId] must have values",14,0.15,0,3,0,0,6,5,14,0,0
Parameter SubnetIds not used.,14,0.15,0,0,1,6,7,0,0,14,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ShopifyAdminApiKey] must have values,14,0.15,0,0,7,0,7,0,14,0,0
"'Arn' is not one of ['PolicyArn', 'AttachmentCount', 'CreateDate', 'DefaultVersionId', 'IsAttachable', 'PermissionsBoundaryUsageCount', 'PolicyId', 'UpdateDate'] in ['us-east-1']",13,0.14,2,0,0,9,0,2,0,13,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, S3BucketName] must have values",13,0.14,0,0,0,0,13,0,13,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyPairName, VpcId, SubnetId] must have values",13,0.14,10,0,0,3,0,0,13,0,0
"'Arn' is not one of ['ARN', 'SubscribedAt'] in ['us-east-1']",13,0.14,0,3,0,3,3,4,0,13,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ShopifyAdminAPIKey] must have values,13,0.14,0,3,0,7,0,3,13,0,0
"'8.0.28' is not one of ['5.7.44', '5.7.44-rds.20240408', '5.7.44-rds.20240529', '5.7.44-rds.20240808', '8.0.32', '8.0.33', '8.0.34', '8.0.35', '8.0.36', '8.0.37', '8.0.39', '8.0.40', '8.4.3']",13,0.14,8,5,0,0,0,0,0,13,0
Additional properties are not allowed ('WaitPeriodMs' was unexpected),13,0.14,0,2,0,0,7,4,0,13,0
{'Ref': 'VpcId'} is not a 'AWS::EC2::VPC.Id' when 'Ref' is resolved,13,0.14,0,0,5,4,0,4,0,13,0
'Arn' is not one of [] in ['us-east-1'],13,0.14,1,0,6,3,3,0,0,13,0
'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/LambdaFunction/Properties/Role',12,0.13,4,1,3,2,0,2,0,12,0
"'ConnectionArn' is not one of ['Arn', 'SecretArn', 'AuthParameters.ConnectivityParameters.ResourceParameters.ResourceAssociationArn', 'InvocationConnectivityParameters.ResourceParameters.ResourceAssociationArn'] in ['us-east-1']",12,0.13,0,0,0,0,3,9,0,12,0
'Inverted' is a required property,12,0.13,0,6,0,0,0,6,0,12,0
"'aws' is not one of ['AWS', 'AWS_PROXY', 'HTTP', 'HTTP_PROXY', 'MOCK']",12,0.13,0,0,0,0,0,12,0,12,0
'2010-09-01' is not one of ['2010-09-09'],12,0.13,12,0,0,0,0,0,0,12,0
"'String' is not one of ['AWS::EC2::Image::Id', 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>']",12,0.13,0,0,0,2,1,9,0,12,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [DomainPrefix] must have values,12,0.13,0,3,0,0,5,4,12,0,0
'' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$',12,0.13,0,10,0,2,0,0,0,12,0
'EC2Instance' dependency already enforced by a 'GetAtt' at 'Resources/CloudFrontDistribution/Properties/DistributionConfig/Origins/0/DomainName',12,0.13,0,3,6,0,0,3,0,12,0
'SNSTopic' dependency already enforced by a 'Ref' at 'Resources/SNSTopicPolicy/Properties/Topics/0',12,0.13,0,0,1,5,0,6,0,12,0
Resource type 'AWS::S3::BucketPublicAccessBlock' does not exist in 'us-east-1',11,0.12,1,0,0,0,0,10,0,11,0
'Value' is a required property,11,0.12,2,0,1,6,2,0,0,11,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, PublicSubnet2, PublicSubnet1] must have values",11,0.12,5,3,0,3,0,0,11,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VPCId] must have values,11,0.12,0,0,0,0,6,5,11,0,0
'AssertionRule' is a required property,11,0.12,0,8,0,0,0,3,0,11,0
'SNSTopic' dependency already enforced by a 'Ref' at 'Resources/SNSTopicPolicy/Properties/PolicyDocument/Statement/0/Resource',10,0.11,0,0,1,4,0,5,0,10,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [DomainName, HostedZoneId, VpcEndpointId, CertificateArn] must have values",10,0.11,0,0,7,3,0,0,10,0,0
'EC2InstanceProfile' dependency already enforced by a 'Ref' at 'Resources/EC2Instance/Properties/IamInstanceProfile',10,0.11,4,0,5,1,0,0,0,10,0
"{'Fn::Select': [0, {'Fn::GetAZs': ''}]} is not a 'AWS::EC2::Subnet.Id' when 'Fn::Select' is resolved",10,0.11,0,0,1,8,1,0,0,10,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [DataDogApiKey] must have values,10,0.11,3,0,0,0,7,0,10,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, Subnet2Id, Subnet1Id] must have values",10,0.11,5,0,0,5,0,0,10,0,0
Default should be a value within AllowedValues,9,0.1,0,0,6,3,0,0,0,9,0
'WaitPeriodMs' is a required property,9,0.1,0,0,0,0,7,2,0,9,0
Line 35: wrong indentation: expected 8 but found 10,9,0.1,0,0,9,0,0,0,0,0,9
"Line 32: too many spaces inside brackets
Line 32: too many spaces inside brackets",9,0.1,0,0,0,0,7,2,0,0,9
Additional properties are not allowed ('ConnectionName' was unexpected),9,0.1,0,0,0,0,0,9,0,9,0
"'Arn' is not one of ['ContentBasedDeduplication', 'DeliveryStatusLogging', 'DisplayName', 'FifoTopic', 'KmsMasterKeyId', 'SignatureVersion', 'Subscription', 'Tags', 'TopicArn', 'TopicName', 'TracingConfig'] in ['us-east-1']",8,0.09,2,0,0,5,1,0,0,8,0
Additional properties are not allowed 'PubliclyAccessible' when creating Aurora cluster,8,0.09,2,0,0,6,0,0,0,8,0
"'5.7.mysql_aurora.2.10.2' is not one of ['5.7', '5.7.mysql_aurora.2.11.1', '5.7.mysql_aurora.2.11.2', '5.7.mysql_aurora.2.11.3', '5.7.mysql_aurora.2.11.4', '5.7.mysql_aurora.2.11.4', '5.7.mysql_aurora.2.11.5', '5.7.mysql_aurora.2.11.6', '5.7.mysql_aurora.2.12.0', '5.7.mysql_aurora.2.12.1', '5.7.mysql_aurora.2.12.2', '5.7.mysql_aurora.2.12.3', '5.7.mysql_aurora.2.12.4', '8.0', '8.0.mysql_aurora.3.04.0', '8.0.mysql_aurora.3.04.1', '8.0.mysql_aurora.3.04.2', '8.0.mysql_aurora.3.04.3', '8.0.mysql_aurora.3.05.2', '8.0.mysql_aurora.3.06.0', '8.0.mysql_aurora.3.06.1', '8.0.mysql_aurora.3.07.0', '8.0.mysql_aurora.3.07.1', '8.0.mysql_aurora.3.08.0']",8,0.09,3,5,0,0,0,0,0,8,0
"Unknown exception while processing rule E3019: ""unhashable type: 'dict_node'""",8,0.09,0,2,0,3,3,0,0,8,0
Parameter KeyPairName not used.,8,0.09,1,0,0,7,0,0,0,8,0
'Key' is a required property,8,0.09,2,0,0,6,0,0,0,8,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [Subnet1, Subnet2, VpcId] must have values",8,0.09,2,3,0,3,0,0,8,0,0
"expected maximum item count: 2, found: 3",8,0.09,0,8,0,0,0,0,0,8,0
'Logging' is a required property,8,0.09,1,3,1,3,0,0,0,8,0
Parameter PrimaryRegion not used.,8,0.09,3,0,0,0,5,0,0,8,0
Additional properties are not allowed ('PrivateZone' was unexpected),8,0.09,0,0,4,4,0,0,0,8,0
Additional properties are not allowed ('Expiration' was unexpected. Did you mean 'ExpirationDate'?),8,0.09,0,0,4,0,4,0,0,8,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [S3BucketName, ManagementAccountId] must have values",8,0.09,0,2,0,0,3,3,8,0,0
Condition IsCode not used,8,0.09,0,2,0,3,3,0,0,8,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [AccessToken] must have values,8,0.09,1,1,3,3,0,0,8,0,0
'RuleConfig' is a required property,8,0.09,0,2,5,0,0,1,0,8,0
Parameter SecondaryRegion not used.,8,0.09,3,0,0,0,5,0,0,8,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ssm-secure:/myapp/dbpassword:1] cannot be found.,7,0.08,0,0,0,0,7,0,7,0,0
"'VpcId' is not one of ['EFSSecurityGroup', 'EFSFileSystem', 'EFSMountTarget1', 'EFSMountTarget2', 'BackupVault', 'BackupPlan', 'BackupSelection', 'BackupRole', 'BurstCreditAlarm', 'IOUtilizationAlarm']",7,0.08,0,0,0,7,0,0,0,7,0
{'Ref': 'SubnetIds'} is not of type 'string',7,0.08,0,0,0,7,0,0,0,7,0
'NatGateway' dependency already enforced by a 'Ref' at 'Resources/PrivateRoute/Properties/NatGatewayId',7,0.08,1,0,0,0,0,6,0,7,0
Parameter validation failed: parameter value  for parameter name KeyPairName does not exist. Delete requested by user.,7,0.08,0,0,2,5,0,0,7,0,0
"'VpcId' is not one of ['RDSSecurityGroup', 'DBSubnetGroup', 'MySQLRDSInstance']",7,0.08,0,0,0,7,0,0,0,7,0
Circular Dependencies for resource MainBucket. Circular dependency with [ReplicationRole],7,0.08,2,1,2,2,0,0,0,7,0
Circular Dependencies for resource ReplicationRole. Circular dependency with [MainBucket],7,0.08,2,1,2,2,0,0,0,7,0
{'XslUrl': {'Ref': 'XslUrl'}} is not of type 'string',7,0.08,0,0,7,0,0,0,0,7,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SecretArn, VpcId, SubnetIds] must have values",7,0.08,0,0,7,0,0,0,7,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ssm-secure:/my/dbpassword:1] cannot be found.,7,0.08,0,0,0,0,0,7,7,0,0
{'Ref': 'SubnetId'} is not a 'AWS::EC2::Subnet.Id' when 'Ref' is resolved,7,0.08,0,0,1,1,2,3,0,7,0
Line 10: syntax error: mapping values are not allowed here (syntax),7,0.08,0,0,7,0,0,0,0,0,7
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [MountTargetSecurityGroup, SubnetIds] must have values",7,0.08,0,0,0,0,0,7,7,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ToolingManagementAccount, IdentityManagementAccount] must have values",7,0.08,0,0,7,0,0,0,7,0,0
'SourceAccount' is a required property,7,0.08,2,0,0,0,3,2,0,7,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [S3BucketName, SNSTopicName] must have values",7,0.08,0,0,0,0,7,0,7,0,0
{'Ref': 'SubnetIds'} is not of type 'string' when 'Ref' is resolved,7,0.08,0,0,0,7,0,0,0,7,0
"Line 32: syntax error: expected <block end>, but found '<scalar>' (syntax)",7,0.08,0,0,0,7,0,0,0,0,7
Line 49: wrong indentation: expected 8 but found 10,7,0.08,0,0,0,0,0,7,0,0,7
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, KeyPairPublicKey, SubnetId] must have values",7,0.08,0,0,7,0,0,0,7,0,0
'Arn' is not one of ['ComputeEnvironmentArn'] in ['us-east-1'],7,0.08,0,0,0,1,3,3,0,7,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName, ServiceRoleArn] must have values",7,0.08,3,0,0,0,4,0,7,0,0
Resource type 'AWS::SSM::Parameter::Value<String>' does not exist in 'us-east-1',7,0.08,0,0,0,1,6,0,0,7,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, SubnetIds, SSHKeyName] must have values",7,0.08,0,0,7,0,0,0,7,0,0
"{'Fn::Select': [0, {'Fn::GetAZs': {'Ref': 'AWS::Region'}}]} is not a 'AWS::EC2::Subnet.Id' when 'Fn::Select' is resolved",7,0.08,0,0,0,0,7,0,0,7,0
Parameter StressTestDuration not used.,7,0.08,0,0,0,0,7,0,0,7,0
'AmplifyApp' dependency already enforced by a 'GetAtt' at 'Resources/AmplifyBranch/Properties/AppId',7,0.08,3,3,0,1,0,0,0,7,0
"'X12' is not one of ['XML', 'JSON', 'NOT_USED']",7,0.08,0,3,4,0,0,0,0,7,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ApiKeyValue] must have values,7,0.08,4,0,0,0,0,3,7,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VPCId, SubnetIds] must have values",7,0.08,0,0,0,0,7,0,7,0,0
'ApiDeployment' dependency already enforced by a 'Ref' at 'Resources/ApiStage/Properties/DeploymentId',7,0.08,1,0,2,4,0,0,0,7,0
Additional properties are not allowed ('StreamEnabled' was unexpected),7,0.08,0,0,0,1,0,6,0,7,0
Additional properties are not allowed ('RoleArn' was unexpected),7,0.08,1,3,0,0,3,0,0,7,0
'Status' is a required property,7,0.08,1,3,0,3,0,0,0,7,0
'ApiKey' dependency already enforced by a 'Ref' at 'Resources/UsagePlanKey/Properties/KeyId',7,0.08,0,0,3,4,0,0,0,7,0
"'AWS::Systems::Parameter::Value::aws::service::ami-amazon-linux-latest::al2023-ami-kernel-default-x86_64' is not one of ['VpcCIDR', 'PublicSubnetCIDR', 'InstanceType', 'KeyPairName', 'VPC', 'InternetGateway', 'AttachGateway', 'PublicSubnet', 'PublicRouteTable', 'PublicRoute', 'PublicSubnetRouteTableAssociation', 'SecurityGroup', 'AdminInstanceRole', 'AdminInstanceProfile', 'ManagedInstanceRole', 'ManagedInstanceProfile', 'AdminInstance', 'ManagedInstance1', 'ManagedInstance2', 'ManagedInstance3', 'ManagedInstance4', 'ManagedInstance5', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",6,0.07,6,0,0,0,0,0,0,6,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [LambdaFunctionName, S3BucketName] must have values",6,0.07,3,0,0,0,3,0,6,0,0
'WorkerConfiguration' is a required property,6,0.07,0,6,0,0,0,0,0,6,0
'Ec2InstanceProfile' dependency already enforced by a 'Ref' at 'Resources/Ec2Instance2/Properties/IamInstanceProfile',6,0.07,0,0,0,6,0,0,0,6,0
'Threshold' is a required property,6,0.07,0,6,0,0,0,0,0,6,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [AvailabilityZone] must have values,6,0.07,2,2,0,2,0,0,6,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [DynamoDBTableName, S3BucketName] must have values",6,0.07,0,0,0,2,4,0,6,0,0
Additional properties are not allowed ('ApiDestinationName' was unexpected),6,0.07,0,0,0,0,0,6,0,6,0
Template error: Fn::Select  cannot select nonexistent value at index 2,6,0.07,0,6,0,0,0,0,6,0,0
Additional properties are not allowed ('RoutingControlName' was unexpected),6,0.07,0,0,0,0,0,6,0,6,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, Image, SubnetIds] must have values",6,0.07,0,0,6,0,0,0,6,0,0
Additional properties are not allowed ('Groups' was unexpected),6,0.07,0,0,4,2,0,0,0,6,0
Additional properties are not allowed ('Filter' was unexpected),6,0.07,0,0,1,0,1,4,0,6,0
Condition HasKeyPair not used,6,0.07,0,0,0,6,0,0,0,6,0
Additional properties are not allowed ('ReadCapacityUnits' was unexpected),6,0.07,0,6,0,0,0,0,0,6,0
"The set of Attributes in AttributeDefinitions: ['expiryTime', 'notificationId', 'sentTime', 'type'] and KeySchemas: ['notificationId', 'sentTime', 'type'] must match at Resources/NotificationsTable/Properties",6,0.07,0,0,0,6,0,0,0,6,0
"Found an embedded parameter ""${KinesisStreamName}"" outside of an ""Fn::Sub"" at Resources/PutRecordMethod/Properties/Integration/RequestTemplates/application/json",6,0.07,3,0,0,0,0,3,0,6,0
Additional properties are not allowed ('Cpu' was unexpected),6,0.07,0,6,0,0,0,0,0,6,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [LogGroupName] must have values,6,0.07,0,0,0,0,3,3,6,0,0
{'Ref': 'ExistingVpcId'} is not a 'AWS::EC2::VPC.Id' when 'Ref' is resolved,6,0.07,0,6,0,0,0,0,0,6,0
'WorkerCount' is a required property,6,0.07,0,6,0,0,0,0,0,6,0
'Ec2InstanceProfile' dependency already enforced by a 'Ref' at 'Resources/Ec2Instance1/Properties/IamInstanceProfile',6,0.07,0,0,0,6,0,0,0,6,0
Additional properties are not allowed ('Memory' was unexpected),6,0.07,0,6,0,0,0,0,0,6,0
"'NONE' is not one of ['API_KEY', 'BASIC', 'OAUTH_CLIENT_CREDENTIALS']",6,0.07,0,0,2,1,0,3,0,6,0
'EventBridgeRole' dependency already enforced by a 'GetAtt' at 'Resources/SecretsManagerEventRule/Properties/Targets/0/RoleArn',6,0.07,0,0,0,6,0,0,0,6,0
Line 57: wrong indentation: expected 14 but found 16,6,0.07,0,0,0,6,0,0,0,0,6
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SubnetIds, VpcId] must have values",6,0.07,0,3,3,0,0,0,6,0,0
"expected minimum item count: 2, found: 1",6,0.07,0,1,0,1,4,0,0,6,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [WebsiteBucketName] must have values,6,0.07,0,0,0,0,6,0,6,0,0
'NATGateway' dependency already enforced by a 'Ref' at 'Resources/PrivateRoute/Properties/NatGatewayId',6,0.07,0,0,3,0,0,3,0,6,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [S3BucketName, S3KeyName] must have values",6,0.07,3,3,0,0,0,0,6,0,0
"Unknown exception while processing rule E2015: ""'list_node' object has no attribute 'split'""",6,0.07,0,0,1,0,2,3,0,6,0
Resource type 'AWS::IAM::RolePolicyAttachment' does not exist in 'us-east-1',6,0.07,0,0,0,6,0,0,0,6,0
