row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,scenario_policy_pass_rate,filtered_compliance_rate,unfiltered_compliance_rate,duration_seconds,error_message,error_traceback,policy_total_policies,policy_passed_policies,final_template,deploy_target,deploy_passed,deploy_stack_id,deploy_error_message,deploy_logs,deploy_duration_seconds,deploy_failed_resources,deploy_completed_resources,total_yaml_errors,total_cfn_lint_errors,total_security_errors,all_yaml_errors,all_cfn_lint_errors,all_security_errors,latest_error_yaml,latest_error_cfn-lint,latest_error_trivy,val_stage_yaml_passed,val_stage_cfn-lint_passed,val_stage_trivy_passed
10,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,20260504_120843_4ad3587f,ok,True,14,22,170570,0,0,111873,58697,1.0,1.0,1.0,5864.483,,,0.0,0.0,"AWSTemplateFormatVersion: '2010-09-09'
Parameters:
  ImageId:
    Type: 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>'
    Default: '/aws/service/ami-amazon-linux-latest/amzn2-ami-hvm-x86_64-gp2'
Resources:
  KeyPair:
    Type: AWS::EC2::KeyPair
    Properties:
      KeyName: !Sub '${AWS::StackName}-KeyPair'
      Tags:
        - Key: Name
          Value: !Sub '${AWS::StackName}-KeyPair'
  SecurityGroup:
    Type: AWS::EC2::SecurityGroup
    Properties:
      GroupDescription: Security group for EC2 instance with SSH access
      SecurityGroupIngress:
        - IpProtocol: tcp
          FromPort: 22
          ToPort: 22
          CidrIp: 0.0.0.0/0
        - IpProtocol: tcp
          FromPort: 22
          ToPort: 22
          CidrIpv6: ::/0
      Tags:
        - Key: Name
          Value: !Sub '${AWS::StackName}-SG'
  EC2Instance:
    Type: AWS::EC2::Instance
    Properties:
      ImageId: !Ref ImageId
      InstanceType: m5d.large
      KeyName: !Ref KeyPair
      SecurityGroupIds:
        - !Ref SecurityGroup
      BlockDeviceMappings:
        - DeviceName: /dev/xvda
          Ebs:
            VolumeSize: 20
            VolumeType: gp3
            Encrypted: true
            DeleteOnTermination: true
        - DeviceName: /dev/sdb
          VirtualName: ephemeral0
      Tags:
        - Key: Name
          Value: !Sub '${AWS::StackName}-Instance'
Outputs:
  InstanceId:
    Value: !Ref EC2Instance
  PublicIp:
    Value: !GetAtt EC2Instance.PublicIp
  PublicDnsName:
    Value: !GetAtt EC2Instance.PublicDnsName",aws,True,arn:aws:cloudformation:us-east-1:649872913223:stack/iac-god-eval-f941e17e/b09bcf70-476b-11f1-b92a-0e117be19ac1,None,"[""Creating stack 'iac-god-eval-f941e17e' on aws"", 'iac-god-eval-f941e17e: CREATE_IN_PROGRESS - User Initiated', 'KeyPair: CREATE_IN_PROGRESS - N/A', 'SecurityGroup: CREATE_IN_PROGRESS - N/A', 'KeyPair: CREATE_IN_PROGRESS - Resource creation Initiated', 'KeyPair: CREATE_COMPLETE - N/A', 'SecurityGroup: CREATE_IN_PROGRESS - Resource creation Initiated', 'SecurityGroup: CREATE_COMPLETE - N/A', 'EC2Instance: CREATE_IN_PROGRESS - N/A', 'EC2Instance: CREATE_IN_PROGRESS - Resource creation Initiated', 'EC2Instance: CREATE_COMPLETE - N/A', 'iac-god-eval-f941e17e: CREATE_COMPLETE - N/A']",367.28,None,KeyPair | SecurityGroup | EC2Instance | iac-god-eval-f941e17e,0.0,1.0,0.0,None,[E3021] | line 16 | Resource: SecurityGroup | 'VpcId' is a dependency of 'SecurityGroupEgress' | When certain properties are specified it results in other properties to be required,None,None,[E3021] | line 16 | Resource: SecurityGroup | 'VpcId' is a dependency of 'SecurityGroupEgress' | When certain properties are specified it results in other properties to be required,,True,True,
11,Data\groud_truth\template\dynamo.yaml,20260427_180147_5f124d3d,ok,True,2,5,16802,0,0,8197,8605,1.0,1.0,1.0,135.587,,,,,,,,,,,,,,,,,,,,,,,,,
12,Data\groud_truth\template\EIP_With_Association.yaml,20260427_180403_bb55949a,ok,True,9,26,192883,0,0,113787,79096,1.0,1.0,1.0,951.059,,,,,,,,,,,,,,,,,,,,,,,,,
13,Data\groud_truth\template\InstanceWithCfnInit.yaml,20260427_181954_93bb6149,ok,True,4,11,84754,0,0,48929,35825,1.0,1.0,1.0,492.751,,,,,,,,,,,,,,,,,,,,,,,,,
14,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,20260427_182806_32eb3356,ok,True,5,14,121048,0,0,78957,42091,1.0,1.0,1.0,525.799,,,,,,,,,,,,,,,,,,,,,,,,,
15,Data\groud_truth\template\apigateway_lambda_integration.yaml,20260427_183652_78ac65be,ok,True,3,8,41775,0,0,27147,14628,1.0,1.0,1.0,317.164,,,,,,,,,,,,,,,,,,,,,,,,,
16,Data\groud_truth\template\glue-for-cloudtrail.yaml,20260427_184209_3e110ab6,ok,True,4,11,51650,0,0,31823,19827,1.0,1.0,1.0,261.229,,,,,,,,,,,,,,,,,,,,,,,,,
17,Data\groud_truth\template\billing-alarms.yaml,20260427_184631_016c39e6,ok,True,2,5,23649,0,0,13407,10242,1.0,1.0,1.0,135.88,,,,,,,,,,,,,,,,,,,,,,,,,
18,Data\groud_truth\template\dynamodb_with_eventbridge.yaml,20260427_184847_c1c24b59,ok,True,13,38,493396,0,0,342502,150894,1.0,1.0,1.0,1365.648,,,,,,,,,,,,,,,,,,,,,,,,,
19,Data\groud_truth\template\eventbridge.yaml,20260427_191132_8064b49c,ok,True,4,11,36526,0,0,25501,11025,1.0,1.0,1.0,123.954,,,,,,,,,,,,,,,,,,,,,,,,,
20,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,20260427_191336_eadcf8f5,ok,True,2,5,42013,0,0,21010,21003,1.0,1.0,1.0,184.908,,,,,,,,,,,,,,,,,,,,,,,,,
21,Data\groud_truth\template\ts_tables.yaml,20260427_191641_9c7cdb28,ok,True,10,29,325739,0,0,252131,73608,1.0,1.0,1.0,594.121,,,,,,,,,,,,,,,,,,,,,,,,,
22,Data\groud_truth\template\DynamoDB_Secondary_Indexes.yaml,20260427_192635_fdee03b5,ok,True,4,11,75883,0,0,43847,32036,1.0,1.0,1.0,607.471,,,,,,,,,,,,,,,,,,,,,,,,,
23,Data\groud_truth\template\DynamoDB_Table.yaml,20260427_193643_9e815df9,ok,True,3,8,26793,0,0,14131,12662,1.0,1.0,1.0,441.212,,,,,,,,,,,,,,,,,,,,,,,,,
24,Data\groud_truth\template\Elasticache-snapshot.yaml,20260427_194404_05732c8f,ok,True,7,20,293136,0,0,232220,60916,1.0,1.0,1.0,1892.037,,,,,,,,,,,,,,,,,,,,,,,,,
26,Data\groud_truth\template\s3_sns.yaml,20260427_204650_acdd4099,ok,True,2,5,22087,0,0,10740,11347,1.0,1.0,1.0,266.819,,,,,,,,,,,,,,,,,,,,,,,,,
27,Data\groud_truth\template\sam_kinesis.yaml,20260504_141843_fc24eb6c,ok,True,6,14,99954,0,0,78489,21465,1.0,1.0,1.0,1411.132,,,0.0,0.0,"AWSTemplateFormatVersion: '2010-09-09'
Description: 'Real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket.'

Parameters:
  ShardCount:
    Type: Number
    Default: 1
    MinValue: 1
    MaxValue: 10

Resources:
  DataLakeBucket:
    Type: AWS::S3::Bucket
    Properties:
      BucketName: !Sub '${AWS::AccountId}-${AWS::Region}-${AWS::StackName}-data-lake-bucket'
      PublicAccessBlockConfiguration:
        BlockPublicAcls: true
        BlockPublicPolicy: true
        IgnorePublicAcls: true
        RestrictPublicBuckets: true
      VersioningConfiguration:
        Status: Enabled
      BucketEncryption:
        ServerSideEncryptionConfiguration:
          - ServerSideEncryptionByDefault:
              SSEAlgorithm: AES256
    DeletionPolicy: Retain
    UpdateReplacePolicy: Retain

  FirehoseRole:
    Type: AWS::IAM::Role
    Properties:
      AssumeRolePolicyDocument:
        Version: '2012-10-17'
        Statement:
          - Effect: Allow
            Principal:
              Service: firehose.amazonaws.com
            Action: sts:AssumeRole
      Policies:
        - PolicyName: FirehosePolicy
          PolicyDocument:
            Version: '2012-10-17'
            Statement:
              - Effect: Allow
                Action:
                  - s3:PutObject
                  - s3:PutObjectAcl
                  - s3:GetObject
                  - s3:DeleteObject
                Resource: !Sub 'arn:aws:s3:::${DataLakeBucket}/*'
              - Effect: Allow
                Action:
                  - kinesis:DescribeStream
                Resource: !GetAtt DataStream.Arn
              - Effect: Allow
                Action:
                  - logs:PutLogEvents
                  - logs:CreateLogStream
                  - logs:CreateLogGroup
                Resource: '*'

  DataStream:
    Type: AWS::Kinesis::Stream
    Properties:
      Name: !Sub '${AWS::StackName}-data-stream'
      ShardCount: !Ref ShardCount
      StreamEncryption:
        EncryptionType: KMS
        KeyId: alias/aws/kinesis

  FirehoseStream:
    Type: AWS::KinesisFirehose::DeliveryStream
    Properties:
      DeliveryStreamName: !Sub '${AWS::StackName}-firehose'
      KinesisStreamSourceConfiguration:
        KinesisStreamARN: !GetAtt DataStream.Arn
        RoleARN: !GetAtt FirehoseRole.Arn
      S3DestinationConfiguration:
        BucketARN: !GetAtt DataLakeBucket.Arn
        Prefix: 'year=!{timestamp:yyyy}/month=!{timestamp:MM}/day=!{timestamp:dd}/'
        ErrorOutputPrefix: 'errors/'
        RoleARN: !GetAtt FirehoseRole.Arn
        BufferingHints:
          SizeInMBs: 1
          IntervalInSeconds: 60
        CloudWatchLoggingOptions:
          Enabled: true
          LogGroupName: !Sub '/aws/kinesis-firehose/${AWS::StackName}-firehose'
          LogStreamName: !Sub '${AWS::StackName}-firehose-stream'

Outputs:
  KinesisStreamArn:
    Description: ARN of the Kinesis Data Stream
    Value: !GetAtt DataStream.Arn
  FirehoseDeliveryStreamArn:
    Description: ARN of the Kinesis Data Firehose Delivery Stream
    Value: !GetAtt FirehoseStream.Arn
  S3BucketName:
    Description: Name of the S3 data lake bucket
    Value: !Ref DataLakeBucket",aws,True,arn:aws:cloudformation:us-east-1:649872913223:stack/iac-god-eval-7d8c780f/413109e0-4773-11f1-9d8c-12abeb9ed3ef,None,"[""Creating stack 'iac-god-eval-7d8c780f' on aws"", 'iac-god-eval-7d8c780f: CREATE_IN_PROGRESS - User Initiated', 'DataLakeBucket: CREATE_IN_PROGRESS - N/A', 'DataStream: CREATE_IN_PROGRESS - N/A', 'DataStream: CREATE_IN_PROGRESS - Resource creation Initiated', 'DataLakeBucket: CREATE_IN_PROGRESS - Resource creation Initiated', 'DataStream: CREATE_COMPLETE - N/A', 'DataLakeBucket: CREATE_COMPLETE - N/A', 'FirehoseRole: CREATE_IN_PROGRESS - N/A', 'FirehoseRole: CREATE_IN_PROGRESS - Resource creation Initiated', 'FirehoseRole: CREATE_COMPLETE - N/A', 'FirehoseStream: CREATE_IN_PROGRESS - N/A', 'FirehoseStream: CREATE_IN_PROGRESS - Resource creation Initiated', 'FirehoseStream: CREATE_COMPLETE - N/A']",461.59,None,DataStream | DataLakeBucket | FirehoseRole | FirehoseStream,0.0,5.0,0.0,None,"[E3002] | line 23 | Resource: DataLakeBucket | Additional properties are not allowed ('ServerSideEncryptionConfiguration' was unexpected) | Making sure that resources properties are properly configured | [W3037] | line 56 | Resource: FirehoseRole | 'putlogeventsbatch' is not one of ['associatekmskey', 'associatesourcetos3tableintegration', 'callwithbearertoken', 'cancelexporttask', 'cancelimporttask', 'createdelivery', 'createexporttask', 'createimporttask', 'createloganomalydetector', 'createlogdelivery', 'createloggroup', 'createlogstream', 'createscheduledquery', 'deleteaccountpolicy', 'deletedataprotectionpolicy', 'deletedelivery', 'deletedeliverydestination', 'deletedeliverydestinationpolicy', 'deletedeliverysource', 'deletedestination', 'deleteindexpolicy', 'deleteintegration', 'deleteloganomalydetector', 'deletelogdelivery', 'deleteloggroup', 'deletelogstream', 'deletemetricfilter', 'deletepipelinerule', 'deletequerydefinition', 'deleteresourcepolicy', 'deleteretentionpolicy', 'deletescheduledquery', 'deletesubscriptionfilter', 'deletetransformer', 'describeaccountpolicies', 'describeconfigurationtemplates', 'describedeliveries', 'describedeliverydestinations', 'describedeliverysources', 'describedestinations', 'describeexporttasks', 'describefieldindexes', 'describeimporttaskbatches', 'describeimporttasks', 'describeindexpolicies', 'describeloggroups', 'describelogstreams', 'describemetricfilters', 'describequeries', 'describequerydefinitions', 'describeresourcepolicies', 'describesubscriptionfilters', 'disassociatekmskey', 'disassociatesourcefroms3tableintegration', 'filterlogevents', 'getdataprotectionpolicy', 'getdelivery', 'getdeliverydestination', 'getdeliverydestinationpolicy', 'getdeliverysource', 'getintegration', 'getloganomalydetector', 'getlogdelivery', 'getlogevents', 'getlogfields', 'getloggroupfields', 'getlogrecord', 'getqueryresults', 'getscheduledquery', 'getscheduledqueryhistory', 'gettransformer', 'integratewiths3table', 'link', 'listaggregateloggroupsummaries', 'listanomalies', 'listentitiesforloggroup', 'listintegrations', 'listloganomalydetectors', 'listlogdeliveries', 'listloggroups', 'listloggroupsforentity', 'listloggroupsforquery', 'listscheduledqueries', 'listsourcesfors3tableintegration', 'listtagsforresource', 'listtagsloggroup', 'processwithpipeline', 'putaccountpolicy', 'putbearertokenauthentication', 'putdataprotectionpolicy', 'putdeliverydestination', 'putdeliverydestinationpolicy', 'putdeliverysource', 'putdestination', 'putdestinationpolicy', 'putindexpolicy', 'putintegration', 'putlogevents', 'putloggroupdeletionprotection', 'putmetricfilter', 'putpipelinerule', 'putquerydefinition', 'putresourcepolicy', 'putretentionpolicy', 'putsubscriptionfilter', 'puttransformer', 'startlivetail', 'startquery', 'stoplivetail', 'stopquery', 'tagloggroup', 'tagresource', 'testmetricfilter', 'testtransformer', 'unmask', 'untagloggroup', 'untagresource', 'updateanomaly', 'updatedeliveryconfiguration', 'updateloganomalydetector', 'updatelogdelivery', 'updatescheduledquery'] | Check for valid IAM Permissions | [E3002] | line 75 | Resource: FirehoseStream | Additional properties are not allowed ('Name' was unexpected) | Making sure that resources properties are properly configured | [E3002] | line 79 | Resource: FirehoseStream | Additional properties are not allowed ('BufferingHints' was unexpected) | Making sure that resources properties are properly configured | [E3002] | line 79 | Resource: FirehoseStream | Additional properties are not allowed ('BufferingHints' was unexpected) | Making sure that resources properties are properly configured",None,None,None,,True,True,
28,Data\groud_truth\template\sns_for_secret_manager.yaml,20260427_211410_49e0138d,ok,True,7,20,147993,0,0,97869,50124,1.0,1.0,1.0,812.326,,,,,,,,,,,,,,,,,,,,,,,,,
29,Data\groud_truth\template\parameter-store-demo.yaml,20260427_212742_79312e03,ok,True,2,5,32518,0,0,12083,20435,1.0,1.0,1.0,209.711,,,,,,,,,,,,,,,,,,,,,,,,,
30,Data\groud_truth\template\efs-provisioned.yaml,20260428_120119_97a863c7,ok,False,15,43,924519,0,0,739505,185014,1.0,1.0,1.0,1613.258,,,,,,,,,,,,,,,,,,,,,,,,,
31,Data\groud_truth\template\codedeploy.yaml,20260428_122812_5939c1de,ok,False,15,44,1372718,0,0,1192218,180500,1.0,1.0,1.0,1520.098,,,,,,,,,,,,,,,,,,,,,,,,,
32,Data\groud_truth\template\LambdaSample.yaml,20260428_125332_fec88626,ok,True,2,5,13897,0,0,9258,4639,1.0,1.0,1.0,87.589,,,,,,,,,,,,,,,,,,,,,,,,,
33,Data\groud_truth\template\lab3.1.4.iamrole.yaml,20260428_125500_7dcb6bd1,ok,True,1,2,5411,0,0,2782,2629,1.0,1.0,1.0,25.398,,,,,,,,,,,,,,,,,,,,,,,,,
34,Data\groud_truth\template\RDS_PIOPS.yaml,20260428_125525_0a64b808,ok,True,5,14,120128,0,0,80010,40118,1.0,1.0,1.0,339.682,,,,,,,,,,,,,,,,,,,,,,,,,
35,Data\groud_truth\template\RDS_Snapshot_On_Delete.yaml,20260428_130105_ef8adab8,ok,True,6,17,235076,0,0,192740,42336,1.0,1.0,1.0,325.034,,,,,,,,,,,,,,,,,,,,,,,,,
36,Data\groud_truth\template\RDS_with_DBParameterGroup.yaml,20260428_130630_2ce9c6aa,ok,True,8,23,276212,0,0,198183,78029,1.0,1.0,1.0,644.635,,,,,,,,,,,,,,,,,,,,,,,,,
37,Data\groud_truth\template\compliant-bucket.yaml,20260428_131715_7ffe6b29,ok,True,7,20,134382,0,0,80149,54233,1.0,1.0,1.0,486.485,,,,,,,,,,,,,,,,,,,,,,,,,
38,Data\groud_truth\template\S3_LambdaTrigger.yaml,20260428_132521_1fb7dd9d,ok,True,2,5,24902,0,0,12310,12592,1.0,1.0,1.0,125.798,,,,,,,,,,,,,,,,,,,,,,,,,
39,Data\groud_truth\template\ecr.yaml,20260428_132727_f0eeac04,ok,True,2,5,12698,0,0,7218,5480,1.0,1.0,1.0,54.488,,,,,,,,,,,,,,,,,,,,,,,,,
40,Data\groud_truth\template\SQSFIFOQueue.yaml,20260428_132821_9f7329ff,ok,True,2,5,14092,0,0,8315,5777,1.0,1.0,1.0,59.03,,,,,,,,,,,,,,,,,,,,,,,,,
41,Data\groud_truth\template\SQSStandardQueue.yaml,20260428_132920_b1254fe5,ok,True,3,8,27958,0,0,15345,12613,1.0,1.0,1.0,112.992,,,,,,,,,,,,,,,,,,,,,,,,,
42,Data\groud_truth\template\FindInMapAZs.yaml,20260428_133113_a39f4c6a,ok,True,9,26,243964,0,0,166706,77258,1.0,1.0,1.0,645.323,,,,,,,,,,,,,,,,,,,,,,,,,
43,Data\groud_truth\template\lab2.2.4.create.yaml,20260428_134159_57195cb3,ok,True,3,8,56869,0,0,30216,26653,1.0,1.0,1.0,209.944,,,,,,,,,,,,,,,,,,,,,,,,,
44,Data\groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,20260428_134529_e2f9f7a3,ok,True,2,5,28888,0,0,16568,12320,1.0,1.0,1.0,101.103,,,,,,,,,,,,,,,,,,,,,,,,,
45,Data\groud_truth\template\DataFirehoseDeliveryStream.yaml,20260428_134710_32e1a307,ok,True,5,14,103477,0,0,65927,37550,1.0,1.0,1.0,322.176,,,,,,,,,,,,,,,,,,,,,,,,,
46,Data\groud_truth\template\recovery.yaml,20260428_135232_e7a9183f,ok,True,4,11,100865,0,0,66996,33869,1.0,1.0,1.0,311.168,,,,,,,,,,,,,,,,,,,,,,,,,
47,Data\groud_truth\template\lab3.1.3.iamrole.yaml,20260428_135743_bda9e2d0,ok,True,1,2,6117,0,0,2697,3420,1.0,1.0,1.0,37.382,,,,,,,,,,,,,,,,,,,,,,,,,
48,Data\groud_truth\template\010_resources.yaml,20260428_140414_787a2648,ok,True,4,11,62277,0,0,35637,26640,1.0,1.0,1.0,252.446,,,,,,,,,,,,,,,,,,,,,,,,,
49,Data\groud_truth\template\ecs_serverless_with_fargate.yaml,20260428_140827_18429670,ok,True,1,2,5353,0,0,2589,2764,1.0,1.0,1.0,30.447,,,,,,,,,,,,,,,,,,,,,,,,,
50,Data\groud_truth\template\url2png-loadtest.yaml,20260428_140857_4fb5bffe,ok,True,11,32,664861,0,0,534189,130672,1.0,1.0,1.0,938.037,,,,,,,,,,,,,,,,,,,,,,,,,
51,Data\groud_truth\template\loadbalancer.yaml,20260428_142435_35570eb1,ok,True,11,32,725949,0,0,583074,142875,1.0,1.0,1.0,1051.387,,,,,,,,,,,,,,,,,,,,,,,,,
52,Data\groud_truth\template\Route53-ARC-routing-control.yaml,20260428_144206_0653902d,ok,True,4,11,84573,0,0,55857,28716,1.0,1.0,1.0,261.656,,,,,,,,,,,,,,,,,,,,,,,,,
53,Data\groud_truth\template\010_emr_serverless.yaml,20260428_144628_8f7d7c3a,ok,True,5,14,88280,0,0,50676,37604,1.0,1.0,1.0,338.241,,,,,,,,,,,,,,,,,,,,,,,,,
54,Data\groud_truth\template\central_alert.yaml,20260428_145206_3f8b41ac,ok,True,4,11,84882,0,0,59862,25020,1.0,1.0,1.0,217.352,,,,,,,,,,,,,,,,,,,,,,,,,
55,Data\groud_truth\template\client_security_group.yaml,20260428_145544_478257af,ok,True,1,2,4984,0,0,2524,2460,1.0,1.0,1.0,31.443,,,,,,,,,,,,,,,,,,,,,,,,,
56,Data\groud_truth\template\cognito_userpool.yaml,20260428_145615_a8e62b40,ok,True,5,14,69547,0,0,47921,21626,1.0,1.0,1.0,207.316,,,,,,,,,,,,,,,,,,,,,,,,,
57,Data\groud_truth\template\simple_ecs.yaml,20260428_145942_c53b341e,ok,True,3,7,26693,0,0,13350,13343,1.0,1.0,1.0,148.387,,,,,,,,,,,,,,,,,,,,,,,,,
58,Data\groud_truth\template\efs_file_system.yaml,20260428_150211_62c965a3,ok,True,8,23,418795,0,0,316573,102222,1.0,1.0,1.0,1037.028,,,,,,,,,,,,,,,,,,,,,,,,,
59,Data\groud_truth\template\kinesis-data-stream.yaml,20260428_151928_ecd85491,ok,True,5,14,110159,0,0,60334,49825,1.0,1.0,1.0,320.727,,,,,,,,,,,,,,,,,,,,,,,,,
60,Data\groud_truth\template\kms-key.yaml,20260428_152449_0803e1b9,ok,True,3,8,36834,0,0,16240,20594,1.0,1.0,1.0,136.241,,,,,,,,,,,,,,,,,,,,,,,,,
61,Data\groud_truth\template\route53-hosted-zone-private.yaml,20260428_170008_19fe4851,ok,True,6,17,91791,0,0,57815,33976,1.0,1.0,1.0,353.111,,,,,,,,,,,,,,,,,,,,,,,,,
62,Data\groud_truth\template\rds_2db_instance.yaml,20260428_170601_cdff8ff5,ok,True,5,14,159422,0,0,115085,44337,1.0,1.0,1.0,453.374,,,,,,,,,,,,,,,,,,,,,,,,,
63,Data\groud_truth\template\rds_psql_export.yaml,20260428_171334_730bdd64,ok,True,9,26,351090,0,0,282200,68890,1.0,1.0,1.0,537.152,,,,,,,,,,,,,,,,,,,,,,,,,
64,Data\groud_truth\template\arch6-lab3.yaml,20260428_172231_395c225a,ok,True,3,8,59308,0,0,38280,21028,1.0,1.0,1.0,182.561,,,,,,,,,,,,,,,,,,,,,,,,,
65,Data\groud_truth\template\lambda_template.yaml,20260428_172534_b25e6e3a,ok,True,1,2,4695,0,0,2602,2093,1.0,1.0,1.0,45.877,,,,,,,,,,,,,,,,,,,,,,,,,
66,Data\groud_truth\template\create_vpc_example.yaml,20260428_172620_44eab393,ok,True,1,2,4805,0,0,2710,2095,1.0,1.0,1.0,23.034,,,,,,,,,,,,,,,,,,,,,,,,,
67,Data\groud_truth\template\cloudwatch-config-s3-bucket.yaml,20260428_172643_eaa2481d,ok,True,2,5,18555,0,0,9299,9256,1.0,1.0,1.0,69.409,,,,,,,,,,,,,,,,,,,,,,,,,
68,Data\groud_truth\template\ssm-cloudwatch-instance-role.yaml,20260428_172752_a4dfac47,ok,True,2,5,15244,0,0,7631,7613,1.0,1.0,1.0,61.825,,,,,,,,,,,,,,,,,,,,,,,,,
69,Data\groud_truth\template\s3_dynamodb.yaml,20260428_172854_3f1bbed7,ok,True,1,2,5427,0,0,2566,2861,1.0,1.0,1.0,29.567,,,,,,,,,,,,,,,,,,,,,,,,,
70,Data\groud_truth\template\base-network.yaml,20260428_172924_8f17ad71,ok,True,6,15,174776,0,0,123686,51090,1.0,1.0,1.0,422.967,,,,,,,,,,,,,,,,,,,,,,,,,
71,Data\groud_truth\template\resource-dependencies-challenge.yaml,20260428_173627_b6b790da,ok,True,8,22,230055,0,0,175981,54074,1.0,1.0,1.0,417.693,,,,,,,,,,,,,,,,,,,,,,,,,
72,Data\groud_truth\template\code-server-stack.yaml,20260428_174324_b37624d5,ok,True,7,20,261950,0,0,197814,64136,1.0,1.0,1.0,665.621,,,,,,,,,,,,,,,,,,,,,,,,,
73,Data\groud_truth\template\easy-ecs-cluster.yaml,20260428_175430_7e02e210,ok,True,2,5,22528,0,0,10100,12428,1.0,1.0,1.0,115.913,,,,,,,,,,,,,,,,,,,,,,,,,
74,Data\groud_truth\template\task-def-book.yaml,20260428_175626_2db2cac7,ok,True,2,5,19491,0,0,10014,9477,1.0,1.0,1.0,84.42,,,,,,,,,,,,,,,,,,,,,,,,,
75,Data\groud_truth\template\CPUStressInstances.yaml,20260428_175750_63af483a,ok,False,15,44,671328,0,0,500496,170832,1.0,1.0,1.0,1459.068,,,,,,,,,,,,,,,,,,,,,,,,,
76,Data\groud_truth\template\setup-users.yaml,20260428_182209_437a7687,ok,True,9,26,395093,0,0,267922,127171,1.0,1.0,1.0,1057.781,,,,,,,,,,,,,,,,,,,,,,,,,
77,Data\groud_truth\template\dynamo-tables.yaml,20260428_183947_65b200ff,ok,True,2,5,29496,0,0,17352,12144,1.0,1.0,1.0,102.277,,,,,,,,,,,,,,,,,,,,,,,,,
78,Data\groud_truth\template\ipam.yaml,20260428_184129_124bab8b,ok,True,2,5,22537,0,0,8362,14175,1.0,1.0,1.0,126.934,,,,,,,,,,,,,,,,,,,,,,,,,
79,Data\groud_truth\template\iam-policies.yaml,20260428_184336_ac84dacf,ok,True,3,8,26011,0,0,15928,10083,1.0,1.0,1.0,87.231,,,,,,,,,,,,,,,,,,,,,,,,,
