row_index,row_number,matched,difficulty_level,total_required_resources,total_generated_resources,correct_resources,missing_resources,extra_resources,coverage_pct,accuracy_pct,intent_coverage_pct,intent_correct,intent_needed,template_empty,parse_error,gt_missing,ground_truth_path,correct_resource_types,missing_resource_types,extra_resource_types,generated_resource_types,prompt
44,121,True,3,10,12,9,1,3,90.0,75.0,,0,0,False,False,False,cfn_templates/eijikominami__aws-cloudformation-templates/security/templates/securitylake.yaml,AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::DataLake;AWS::SecurityLake::Subscriber;AWS::IAM::Role,AWS::SecurityLake::SubscriberNotification,AWS::KMS::Key;AWS::SQS::QueuePolicy;AWS::SQS::Queue,AWS::KMS::Key;AWS::IAM::Role;AWS::SecurityLake::DataLake;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SecurityLake::AwsLogSource;AWS::SQS::Queue;AWS::SQS::QueuePolicy;AWS::SecurityLake::Subscriber,"We need a CloudFormation template that creates an Amazon Security Lake data lake for centralizing security logs from multiple AWS services, including CloudTrail management events, Lambda execution logs, EKS audit logs, Route 53 DNS queries, Security Hub findings, and VPC flow logs. The template should include a parameter for an optional audit account ID that, when provided, creates an S3 subscriber with the external ID ""SIEM"" to grant that account access to the ingested data, along with an SQS notification configuration for the subscriber. The data lake should use a custom IAM service role for metastore management, and all resources should be tagged with an environment value (defaulting to ""production"") and a custom tag pair where the key defaults to ""createdby"" and the value defaults to ""aws-cloudformation-templates"". The template should also accept a logical name parameter defaulting to ""SecurityLake"" that prefixes the IAM role name, and the environment parameter should be restricted to production, test, or development values."
45,122,True,4,18,18,17,1,1,94.44,94.44,,0,0,False,False,False,cfn_templates/leandro-michelino__oci-landingzones/blueprints/disaster-recovery/aws-oci-cross-cloud-dr/aws/main.yaml,AWS::IAM::InstanceProfile;AWS::KMS::Key;AWS::EC2::EIP;AWS::EC2::RouteTable;AWS::EC2::InternetGateway;AWS::EC2::EIPAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Instance;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::EC2::Route;AWS::EC2::FlowLog,AWS::EC2::LaunchTemplate,AWS::KMS::Alias,AWS::KMS::Key;AWS::KMS::Alias;AWS::Logs::LogGroup;AWS::IAM::Role;AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::Instance;AWS::EC2::EIP;AWS::EC2::EIPAssociation;AWS::EC2::FlowLog,"We need a CloudFormation template that creates a complete AWS standby deployment for a cross-cloud disaster recovery blueprint where the primary cloud is OCI, including a VPC with a CIDR block of 10.82.0.0/16, a single private subnet using 10.82.10.0/24, an EC2 instance of type t3.micro dynamically fetching the latest Amazon Linux 2023 AMI that serves a simple static HTML page on HTTP port 80 to act as a health-check endpoint, and an Elastic IP associated to that instance for a stable failover endpoint; the instance must use a new IAM role with the AmazonSSMManagedInstanceCore policy, have encrypted EBS volumes, enforce IMDSv2, and be placed in a security group that only allows HTTP and HTTPS ingress from the internal network range 10.0.0.0/8 and HTTPS egress to the same range; the VPC should have an Internet Gateway, a default route to it, and VPC Flow Logs enabled with encryption using a new customer-managed KMS key and a 30-day retention log group; all resources should be tagged appropriately for the DR standby role."
46,125,True,4,8,8,8,0,0,100.0,100.0,,0,0,False,False,False,cfn_templates/Sage-Bionetworks-IT__organizations-infra/org-formation/075-security-hub/security-hub.yaml,AWS::SecurityHub::Hub;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule,,,AWS::SecurityHub::Hub;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule;AWS::SecurityHub::AutomationRule,"We need a CloudFormation template that creates an AWS Security Hub setup with a series of automation rules to suppress various findings, enabling the Hub resource itself and then defining multiple rules that automatically suppress findings based on criteria such as generator IDs, resource identifiers using prefix matching, and AWS account IDs, with the first rule suppressing findings for IAM resources associated with specific user name prefixes, the second rule suppressing findings in a particular account for S3 buckets with certain naming patterns, the third rule suppressing findings across all accounts for a defined set of generator IDs, the fourth rule suppressing findings for publicly accessible S3 buckets matching common infrastructure bucket name prefixes, the fifth rule suppressing EBS encryption findings for a designated account, the sixth rule suppressing unused credential findings for service users in two specific accounts, and the final rule suppressing a specific GuardDuty anomaly pattern matching a particular finding type."
47,126,True,4,11,13,11,0,2,100.0,84.62,,0,0,False,False,False,cfn_templates/aws-ia__cfn-mp-ql-rules/test/fixtures/templates/stackhelper/quickstart-netapp-ontapcloud-sql/templates/netapp-otc-newvpc.template,AWS::EC2::RouteTable;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::InternetGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::NetworkAcl;AWS::EC2::Route,,AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::NetworkAcl;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::SubnetNetworkAclAssociation,"We need a CloudFormation template that creates a VPC with a public subnet for a basic networking setup. The VPC CIDR should be parameterized with allowed options from 172.18.0.0/16 through 172.23.0.0/16, defaulting to 172.18.0.0/16, and the public subnet should use a /24 from the same base block. The template must include an Internet Gateway, a route table with a default route to the gateway, and a network ACL that allows all inbound and outbound traffic for the public subnet. Output the VPC ID and the public subnet ID."
48,133,True,4,18,17,16,2,1,88.89,94.12,,0,0,False,False,False,cfn_templates/aws-samples__aws-cloud-compliance-assurance/aws-configremediations-pci/cft/aws-securevpcsetup.json,AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::SecurityGroupIngress;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::RouteTable;AWS::EC2::RouteTable,AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroupIngress,"We need a CloudFormation template that creates a multi-tier network environment for testing purposes, consisting of a VPC with CIDR 10.33.64.0/18, four subnets – two in the first availability zone (10.33.64.0/20 and 10.33.80.0/20) and two in the second availability zone (10.33.96.0/20 and 10.33.112.0/20) – with the first subnet designated as public and attached to an internet gateway via a public route table, the remaining two subnets designated as private and sharing a single private route table, plus a bastion security group allowing SSH from anywhere and an internal security group that only permits SSH from the bastion and all traffic from itself, and the template should export the VPC ID, all subnet IDs, the public route table ID, and the bastion security group ID for cross-stack references."
49,141,True,4,9,2,0,9,2,0.0,0.0,,0,0,False,False,False,cfn_templates/cloudtools__troposphere/tests/examples_output/WAF_Regional_Common_Attacks_Sample.template,,AWS::WAFRegional::IPSet;AWS::WAFRegional::Rule;AWS::WAFRegional::Rule;AWS::WAFRegional::Rule;AWS::WAFRegional::Rule;AWS::WAFRegional::SqlInjectionMatchSet;AWS::WAFRegional::SizeConstraintSet;AWS::WAFRegional::WebACL;AWS::WAFRegional::XssMatchSet,AWS::WAFv2::IPSet;AWS::WAFv2::WebACL,AWS::WAFv2::IPSet;AWS::WAFv2::WebACL,"We need a CloudFormation template that creates an AWS WAF Regional WebACL for protecting a regional resource, such as an ALB or API Gateway, against common web attacks; the WebACL should have a default action of ALLOW and include a rule to block manually specified IP addresses (using an initially empty IP set that can be populated later), a rule that counts requests with a body larger than 8192 bytes (for detection and monitoring), a rule to block SQL injection attacks by inspecting the query string and body with both URL decode and HTML entity decode transformations plus the URI with URL decode transformation only, and a rule to block cross-site scripting (XSS) attacks using the same field-to-match and transformation approach, and the template must accept a single parameter for the WebACL name with a default value of ""CommonAttackProtection"" that prefixes all resource and metric names."
50,146,True,5,20,17,17,3,0,85.0,100.0,,0,0,False,False,False,cfn_templates/DerSalvador__quickstart-amazon-eks/templates/amazon-eks-per-account-resources.template.yaml,AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role,AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role,,AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role,"We need a CloudFormation template that creates all the shared IAM roles and instance profiles required for deploying an Amazon EKS cluster using the AWS QuickStart, with the template using a mapping to define a consistent resource name prefix and SSM parameter prefix for naming, and it must provision roles for the EKS control plane, managed and unmanaged worker nodes with corresponding instance profiles, Fargate execution and profile, and a comprehensive set of Lambda helper roles to support operations such as copying assets, reading resources, creating VPC roles, cleaning up S3 buckets, load balancers, security group dependencies, and Lambda functions, as well as roles for registering custom resource types, resolving parameters, and managing node security groups, each with appropriate trust policies and necessary managed policies like AmazonEKSClusterPolicy, AmazonEKSWorkerNodePolicy, AmazonEKS_CNI_Policy, and AWSLambdaBasicExecutionRole, and be self-contained and ready to deploy as a prerequisite stack for the EKS QuickStart."
51,147,True,5,30,31,30,0,1,100.0,96.77,,0,0,False,False,False,cfn_templates/aws-samples__sample-emr-eks-spark-kerberos-hms/microsoft-ad/cloudformation/network-stack.yaml,AWS::KMS::Key;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::InternetGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::FlowLog,,AWS::KMS::Alias,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::KMS::Key;AWS::KMS::Alias;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::EC2::FlowLog;AWS::EC2::SecurityGroup;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint,"We need a CloudFormation template that creates a VPC named with a ""KerberosEMRonEKS"" prefix to support a Microsoft AD infrastructure, using a 10.0.0.0/24 CIDR split into two public subnets (10.0.0.0/26 and 10.0.0.64/26) and two private subnets (10.0.0.128/26 and 10.0.0.192/26), each in a different AZ, with an Internet Gateway, two NAT Gateways each with an EIP, and the proper routing so that public subnets have default routes to the Internet Gateway and each private subnet has a default route to its respective NAT Gateway in the same AZ. The template should also include a KMS key for encrypting VPC flow logs with key rotation enabled, a VPC flow log sending all traffic to a CloudWatch log group with 30-day retention, and VPC interface endpoints in the private subnets for SSM, SSM Messages, EC2 Messages, and Secrets Manager, all using a shared security group that restricts inbound and outbound traffic to HTTPS from the VPC CIDR."
52,149,True,4,11,11,11,0,0,100.0,100.0,,0,0,False,False,False,cfn_templates/kubernetes-sigs__cluster-api-provider-aws/cmd/clusterawsadm/cloudformation/bootstrap/fixtures/with_allow_assume_role.yaml,AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy,,,AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile,"We need a CloudFormation template that creates the IAM roles, instance profiles, and managed policies required by the Cluster API Provider AWS (CAPA) to manage Kubernetes clusters on AWS, including support for EKS. The template must define three primary roles: one for the control plane (ec2.amazonaws.com trust), one for worker nodes (ec2.amazonaws.com trust), and one for the CAPA controllers (ec2.amazonaws.com and pods.eks.amazonaws.com trust). Each role should have an associated instance profile with the naming convention control-plane.cluster-api-provider-aws.sigs.k8s.io, nodes.cluster-api-provider-aws.sigs.k8s.io, and controllers.cluster-api-provider-aws.sigs.k8s.io. The controllers role also needs a dedicated managed policy granting broad permissions to manage EC2, VPC, ELB, autoscaling, EKS, IAM pass role, and secrets manager, while the control plane role requires a policy focused on cloud provider operations (e.g., autoscaling, EC2, ELB, KMS). The nodes role should have a policy allowing EC2 describe, ECR, secrets manager, and SSM actions, and this same nodes policy must also be attached to the control plane role. The nodes role must also have the standard AWS managed EKS worker node policy and the EKS CNI policy attached directly to it, since it needs to function as an EKS worker node. Additionally, an EKS-specific role (eks-controlplane.cluster-api-provider-aws.sigs.k8s.io) with the AmazonEKSClusterPolicy managed policy and an EKS-specific managed policy for controllers, named controllers-eks.cluster-api-provider-aws.sigs.k8s.io (allowing EKS cluster/nodegroup management, SSM parameter retrieval, and KMS grants), must be attached to both the controllers and control plane roles. All role and policy names must follow the exact naming convention with the suffix .cluster-api-provider-aws.sigs.k8s.io."
53,152,True,3,9,13,6,3,7,66.67,46.15,,0,0,False,False,False,cfn_templates/Barnard-PL-Labs__IaCAnalysis/pipr_dataset/306188472.yaml,AWS::CodeBuild::Project;AWS::IAM::Policy;AWS::IAM::Policy;AWS::Events::Rule;AWS::IAM::Role;AWS::IAM::Role,AWS::CDK::Metadata;AWS::Events::Rule;AWS::Events::Rule,AWS::S3::Bucket;AWS::IAM::Policy;AWS::S3::BucketPolicy;AWS::KMS::Key;AWS::Lambda::Function;AWS::IAM::Role;AWS::KMS::Alias,AWS::KMS::Key;AWS::KMS::Alias;AWS::S3::Bucket;AWS::S3::BucketPolicy;AWS::IAM::Role;AWS::IAM::Policy;AWS::IAM::Role;AWS::IAM::Policy;AWS::Lambda::Function;AWS::IAM::Role;AWS::IAM::Policy;AWS::CodeBuild::Project;AWS::Events::Rule,"We need a CloudFormation template that creates a CodeBuild project to mirror three existing CodeCommit repositories ('card-service', 'rule-service', and 'ecs-pipeline') from the current deployment region to a target replica region (provided as a parameter defaulting to us-east-1). The template must provision EventBridge rules that automatically trigger the build whenever a commit is pushed to the 'mainline' branch in any of the source repositories. The CodeBuild project should execute a buildspec that uses 'git-remote-codecommit' to clone and push the repositories to their regional replicas. Assume the repositories already exist and do not need to be provisioned by this template. Ensure all necessary IAM roles and policies for CodeBuild and EventBridge are created using dynamic AWS Account IDs and regions, utilizing a standard CodeBuild Linux container image and the default S3 encryption key alias."
54,154,True,3,5,1,1,4,0,20.0,100.0,,0,0,False,False,False,cfn_templates/aws-samples__aws-cloud-compliance-assurance/aws-devsecops-conformancepack-pci/cft/aws-pci-confpack-ssmautomation-reinvent.yml,AWS::IAM::Role,AWS::SSM::Document;AWS::SSM::Document;AWS::SSM::Document;AWS::SSM::Document,,AWS::IAM::Role,"We need a CloudFormation template that creates a prerequisite IAM role and a set of custom AWS Systems Manager Automation documents used for PCI compliance remediations with AWS Config Conformance Packs, including a document to restrict VPC default security group traffic by revoking all ingress and egress rules, a document to delete unused security groups, a document to release unassociated Elastic IP addresses using their allocation IDs, and a document to update an auto scaling group's health check type to ELB with a grace period of 300 seconds; the role must be named with a prefix of pciautomationassumerole followed by the region, trust SSM, EC2, and Events services, and include a policy granting only the specific ec2 actions needed by these scripts (releasing addresses, describing and deleting security groups, and revoking security group ingress and egress rules)."
55,155,True,3,13,13,13,0,0,100.0,100.0,,0,0,False,False,False,cfn_templates/cloudtools__troposphere/tests/examples_output/NatGateway.template,AWS::EC2::NatGateway;AWS::EC2::EIP;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,,,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation,"We need a CloudFormation template that creates a VPC with a public subnet and a private subnet, including a NAT gateway in the public subnet to provide outbound internet access for instances in the private subnet, using the default CIDR blocks of 172.18.0.0/16 for the VPC, 172.18.0.0/22 for the public subnet, and 172.18.32.0/21 for the private subnet as configurable parameters, along with the necessary internet gateway, route tables, and routes to ensure proper connectivity."
56,158,True,3,11,11,11,0,0,100.0,100.0,,0,0,False,False,False,cfn_templates/iann0036__cfn-analyse/samples/splunk_splunk-aws-cloudformation-master/multi-node-via-chef/templates/vpc_multi_subnets.template,AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,,,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,"We need a CloudFormation template that creates a VPC for testing purposes, with a configurable number of public subnets across different Availability Zones. The VPC should use the CIDR block 192.168.0.0/16, and the subnets should be in CIDR blocks 192.168.1.0/24, 192.168.2.0/24, and 192.168.3.0/24, but only create the second and third subnets if a parameter named SubnetCount is set to 2 or 3 respectively. The template must include all necessary networking resources to make the subnets publicly accessible, such as an Internet Gateway and appropriate routing. The SubnetCount parameter should default to 1, and the template should output the VPC ID, the first subnet ID, and a comma-separated list of all subnet IDs."
57,161,True,5,42,42,42,0,0,100.0,100.0,,0,0,False,False,False,cfn_templates/rewindio__aws-security-hub-CIS-metrics/CIS-alarms-cfn.yml,AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,,,AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition;AWS::Logs::MetricFilter;AWS::CloudWatch::Alarm;AWS::Logs::QueryDefinition,"We need a CloudFormation template that creates the full set of CloudWatch metric filters, alarms, and CloudWatch Logs query definitions for the CIS AWS Foundations Benchmark controls 3.1 through 3.14, all driven by CloudTrail events delivered to a CloudWatch Logs group that you take in as a configurable parameter (the log group itself is expected to already be receiving CloudTrail events, but is supplied to the template as an input rather than hardcoded). The template should take two parameters: an SNS topic ARN to use for alarm actions, with a placeholder default value such as ""arn:aws:sns:aws-region:your-account#:your-CIS-Alarms"" that the user is expected to replace with their own topic, and the CloudTrail log group name, with a placeholder default such as ""Example-Cloudwatch-For-Trail-LogGroup"" that the user is expected to replace with the name of their own log group. It needs to detect and alarm on unauthorized API calls, console sign-ins without MFA, root account usage, IAM policy changes, CloudTrail configuration changes, console login failures, disabling or scheduled deletion of customer-managed KMS keys, S3 bucket policy changes, AWS Config configuration changes, security group changes, NACL changes, network gateway changes, route table changes, and VPC changes. Each metric filter should publish to the CloudTrailMetrics namespace and each alarm should trigger on a count of one event within the evaluation window, using the provided SNS topic as the notification target, with the log group referenced by the parameter for all filters and queries."
58,164,True,3,9,25,7,2,18,77.78,28.0,,0,0,False,False,False,cfn_templates/Sage-Bionetworks__aws-infra/templates/ImageBuilder/amazon-linux-2023-docker.yaml,AWS::IAM::InstanceProfile;AWS::ImageBuilder::InfrastructureConfiguration;AWS::ImageBuilder::Component;AWS::IAM::Role;AWS::ImageBuilder::ImageRecipe;AWS::ImageBuilder::ImageRecipe;AWS::ImageBuilder::DistributionConfiguration,AWS::ImageBuilder::Image;AWS::ImageBuilder::Image,AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::InternetGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::ImageBuilder::Component;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::ImageBuilder::ImagePipeline;AWS::ImageBuilder::ImagePipeline;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::EC2::Route;AWS::EC2::Route,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::ImageBuilder::Component;AWS::ImageBuilder::Component;AWS::ImageBuilder::ImageRecipe;AWS::ImageBuilder::ImageRecipe;AWS::ImageBuilder::InfrastructureConfiguration;AWS::ImageBuilder::DistributionConfiguration;AWS::ImageBuilder::ImagePipeline;AWS::ImageBuilder::ImagePipeline,"We need a CloudFormation template that creates an EC2 Image Builder pipeline to build custom Amazon Linux 2023 AMIs for both x86 and arm64 architectures, installing Docker, Docker Compose, Python packages (synapseclient, pandas, pysftp), and enabling SSM user sudo access, then distributing the images publicly and sharing them with a specified AWS Organization ID (with a configurable default). The template should define two image recipes, a shared infrastructure configuration, a single distribution configuration with public launch permissions and organization-level sharing, and allow the user to set the image version and root volume size (default 32 GB). The resulting AMIs must be tagged with the stack name, and the pipeline should include a component for software installation and a test phase verifying Docker Compose and Python imports."
