row_number,template,prompt,checkov_passed,checkov_error,total_checks,passed_checks,failed_checks,policy_pass_rate,fully_compliant,severity_critical,severity_high,severity_medium,severity_low,severity_unknown,violation_ids,violation_titles,violations_json,swvs
10,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,We need a CloudFormation template that creates an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.,False,,6,5,1,0.8333,False,0,0,0,0,1,"[""CKV_AWS_23""]","[""Ensure every security groups rule has a description""]","[{""check_id"": ""CKV_AWS_23"", ""check_title"": ""Ensure every security groups rule has a description"", ""resource"": ""AWS::EC2::SecurityGroup.EC2SecurityGroup"", ""resource_type"": ""AWS::EC2::SecurityGroup"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/EC2_Instance_With_Ephemeral_Drives.yaml"", ""lines"": [89, 101], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-31""}]",0.5
11,Data\groud_truth\template\dynamo.yaml,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. ,False,,2,0,2,0.0,False,0,0,0,0,2,"[""CKV_AWS_28"", ""CKV_AWS_119""]","[""Ensure DynamoDB point in time recovery (backup) is enabled"", ""Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK""]","[{""check_id"": ""CKV_AWS_28"", ""check_title"": ""Ensure DynamoDB point in time recovery (backup) is enabled"", ""resource"": ""AWS::DynamoDB::Table.mobileNotificationsReports"", ""resource_type"": ""AWS::DynamoDB::Table"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/dynamo.yaml"", ""lines"": [12, 43], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-6""}, {""check_id"": ""CKV_AWS_119"", ""check_title"": ""Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK"", ""resource"": ""AWS::DynamoDB::Table.mobileNotificationsReports"", ""resource_type"": ""AWS::DynamoDB::Table"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/dynamo.yaml"", ""lines"": [12, 43], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-52""}]",1.0
12,Data\groud_truth\template\EIP_With_Association.yaml,We need a CloudFormation template that creates an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.,False,,6,4,2,0.6667,False,0,0,0,0,2,"[""CKV_AWS_24"", ""CKV_AWS_23""]","[""Ensure no security groups allow ingress from 0.0.0.0:0 to port 22"", ""Ensure every security groups rule has a description""]","[{""check_id"": ""CKV_AWS_24"", ""check_title"": ""Ensure no security groups allow ingress from 0.0.0.0:0 to port 22"", ""resource"": ""AWS::EC2::SecurityGroup.InstanceSecurityGroup"", ""resource_type"": ""AWS::EC2::SecurityGroup"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/EIP_With_Association.yaml"", ""lines"": [85, 93], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-1-port-security""}, {""check_id"": ""CKV_AWS_23"", ""check_title"": ""Ensure every security groups rule has a description"", ""resource"": ""AWS::EC2::SecurityGroup.InstanceSecurityGroup"", ""resource_type"": ""AWS::EC2::SecurityGroup"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/EIP_With_Association.yaml"", ""lines"": [85, 93], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-31""}]",1.0
13,Data\groud_truth\template\InstanceWithCfnInit.yaml,"We need a CloudFormation template that creates EC2 instance with cfn-init and cfn-signal that is able to deploy on AWS successfully. The solution should deploy an EC2 instance preconfigured with Apache HTTP Server via `cfn-init` package installation and service setup. Automate web server initialization by creating a sample `index.html` page and configuring `cfn-hup` for metadata updates, enabling automatic reconfiguration if stack parameters change. Use a CreationPolicy with ResourceSignal to pause stack creation until `cfn-signal` confirms successful instance bootstrapping (timeout: 5 minutes), preventing incomplete deployments.  ",True,,2,2,0,1.0,True,0,0,0,0,0,[],[],[],0.0
14,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.,False,,0,0,0,,False,0,0,0,0,0,[],[],[],0.0
15,Data\groud_truth\template\apigateway_lambda_integration.yaml,We need a CloudFormation template that creates an API Gateway with lambda non-proxy integration for RESTApi that is able to deploy on AWS successfully.,False,,17,13,4,0.7647,False,0,0,0,0,4,"[""CKV_AWS_59"", ""CKV_AWS_117"", ""CKV_AWS_116"", ""CKV_AWS_115""]","[""Ensure there is no open access to back-end resources through API"", ""Ensure that AWS Lambda function is configured inside a VPC"", ""Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)"", ""Ensure that AWS Lambda function is configured for function-level concurrent execution limit""]","[{""check_id"": ""CKV_AWS_59"", ""check_title"": ""Ensure there is no open access to back-end resources through API"", ""resource"": ""AWS::ApiGateway::Method.ApiMethod"", ""resource_type"": ""AWS::ApiGateway::Method"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/apigateway_lambda_integration.yaml"", ""lines"": [56, 94], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/public-policies/public-6-api-gateway-authorizer-set""}, {""check_id"": ""CKV_AWS_117"", ""check_title"": ""Ensure that AWS Lambda function is configured inside a VPC"", ""resource"": ""AWS::Lambda::Function.LambdaFunction"", ""resource_type"": ""AWS::Lambda::Function"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/apigateway_lambda_integration.yaml"", ""lines"": [96, 114], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-aws-lambda-function-is-configured-inside-a-vpc-1""}, {""check_id"": ""CKV_AWS_116"", ""check_title"": ""Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)"", ""resource"": ""AWS::Lambda::Function.LambdaFunction"", ""resource_type"": ""AWS::Lambda::Function"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/apigateway_lambda_integration.yaml"", ""lines"": [96, 114], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-aws-lambda-function-is-configured-for-a-dead-letter-queue-dlq""}, {""check_id"": ""CKV_AWS_115"", ""check_title"": ""Ensure that AWS Lambda function is configured for function-level concurrent execution limit"", ""resource"": ""AWS::Lambda::Function.LambdaFunction"", ""resource_type"": ""AWS::Lambda::Function"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/apigateway_lambda_integration.yaml"", ""lines"": [96, 114], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-aws-lambda-function-is-configured-for-function-level-concurrent-execution-limit""}]",2.0
16,Data\groud_truth\template\glue-for-cloudtrail.yaml,"We need a CloudFormation template that creates AWS Glue resources for crawling and cataloging CloudTrail logs stored in S3 which attempts to enable structured querying via Athena. The solution should deploy a Glue Database and Crawler to analyze CloudTrail logs in an S3 bucket (`s3://kk-admin/cloud-trail/AWSLogs/`), automatically inferring schemas and creating metadata tables. Define crawler settings to handle schema updates and prefix tables with `cloudtrail_` for organizational clarity.  ",False,,10,9,1,0.9,False,0,0,0,0,1,"[""CKV_AWS_195""]","[""Ensure Glue component has a security configuration associated""]","[{""check_id"": ""CKV_AWS_195"", ""check_title"": ""Ensure Glue component has a security configuration associated"", ""resource"": ""AWS::Glue::Crawler.GlueCrawler"", ""resource_type"": ""AWS::Glue::Crawler"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/glue-for-cloudtrail.yaml"", ""lines"": [15, 28], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-aws-glue-component-is-associated-with-a-security-configuration""}]",0.5
17,Data\groud_truth\template\billing-alarms.yaml,"We need a CloudFormation template that creates multi-threshold AWS billing alarms using CloudWatch and SNS which monitor monthly AWS costs and send email alerts when spending exceeds predefined levels. The solution should deploy four CloudWatch alarms tracking the `EstimatedCharges` metric, triggering at $5, $10, $20, and $40 thresholds respectively. Configure an SNS topic with an email subscription to notify email address (xxxxx@gmail.com) when any alarm threshold is breached. Please monitor charges with alarms evaluated every 6 hours to balance responsiveness and noise reduction. ",False,,1,0,1,0.0,False,0,0,0,0,1,"[""CKV_AWS_26""]","[""Ensure all data stored in the SNS topic is encrypted""]","[{""check_id"": ""CKV_AWS_26"", ""check_title"": ""Ensure all data stored in the SNS topic is encrypted"", ""resource"": ""AWS::SNS::Topic.RootAccountUsageSnsTopic"", ""resource_type"": ""AWS::SNS::Topic"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/billing-alarms.yaml"", ""lines"": [87, 94], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-15""}]",0.5
18,Data\groud_truth\template\dynamodb_with_eventbridge.yaml,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template must configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user's 'avatarUrl' field ends with '.png') and route matching events to the bus with predefined metadata (`DetailType` and `Source`). ",False,,11,9,2,0.8182,False,0,0,0,0,2,"[""CKV_AWS_28"", ""CKV_AWS_119""]","[""Ensure DynamoDB point in time recovery (backup) is enabled"", ""Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK""]","[{""check_id"": ""CKV_AWS_28"", ""check_title"": ""Ensure DynamoDB point in time recovery (backup) is enabled"", ""resource"": ""AWS::DynamoDB::Table.DynamoDBUsersTable"", ""resource_type"": ""AWS::DynamoDB::Table"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/dynamodb_with_eventbridge.yaml"", ""lines"": [6, 21], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-6""}, {""check_id"": ""CKV_AWS_119"", ""check_title"": ""Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK"", ""resource"": ""AWS::DynamoDB::Table.DynamoDBUsersTable"", ""resource_type"": ""AWS::DynamoDB::Table"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/dynamodb_with_eventbridge.yaml"", ""lines"": [6, 21], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-52""}]",1.0
19,Data\groud_truth\template\eventbridge.yaml,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. ",True,,9,9,0,1.0,True,0,0,0,0,0,[],[],[],0.0
20,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.",False,,0,0,0,,False,0,0,0,0,0,[],[],[],0.0
21,Data\groud_truth\template\ts_tables.yaml,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes).",False,,10,7,3,0.7,False,0,0,0,0,3,"[""CKV_AWS_160"", ""CKV_AWS_18"", ""CKV_AWS_21""]","[""Ensure that Timestream database is encrypted with KMS CMK"", ""Ensure the S3 bucket has access logging enabled"", ""Ensure the S3 bucket has versioning enabled""]","[{""check_id"": ""CKV_AWS_160"", ""check_title"": ""Ensure that Timestream database is encrypted with KMS CMK"", ""resource"": ""AWS::Timestream::Database.TestDatabase"", ""resource_type"": ""AWS::Timestream::Database"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/ts_tables.yaml"", ""lines"": [6, 9], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/ensure-that-timestream-database-is-encrypted-with-kms-cmk""}, {""check_id"": ""CKV_AWS_18"", ""check_title"": ""Ensure the S3 bucket has access logging enabled"", ""resource"": ""AWS::S3::Bucket.S3BucketMagneticErrorRecords"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/ts_tables.yaml"", ""lines"": [29, 39], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/s3-13-enable-logging""}, {""check_id"": ""CKV_AWS_21"", ""check_title"": ""Ensure the S3 bucket has versioning enabled"", ""resource"": ""AWS::S3::Bucket.S3BucketMagneticErrorRecords"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/ts_tables.yaml"", ""lines"": [29, 39], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/s3-16-enable-versioning""}]",1.5
